place,url,state
Auburn,gauburn,alabama
Birmingham,gbirmingham,alabama
Dothan,gdothan,alabama
Gadsden,ggadsden,alabama
Huntsville,ghuntsville,alabama
Mobile,gmobile,alabama
Montgomery,gmontgomery,alabama
Muscle Shoals,gshoals,alabama
Tuscaloosa,gtuscaloosa,alabama
Anchorage,ganchorage,alaska
Fairbanks,gfairbanks,alaska
Juneau,gjuneau,alaska
Kenai Peninsula,gkenaipeninsula,alaska
Flagstaff/Sedona,gflagstaff,arizona
Mohave County,gmohave,arizona
Phoenix,gphoenix,arizona
Prescott,gprescott,arizona
Show Low,gshowlow,arizona
Sierra Vista,gsierravista,arizona
Tucson,gtucson,arizona
Yuma,gyuma,arizona
Fayetteville,gfayetteville,arkansas
Fort Smith,gfortsmith,arkansas
Jonesboro,gjonesboro,arkansas
Little Rock,glittlerock,arkansas
Bakersfield,gbakersfield,california
Chico,gchico,california
Fresno,gfresno,california
Humboldt County,ghumboldt,california
Imperial County,gimperial,california
Inland Empire,ginlandempire,california
Long Beach,glongbeach,california
Los Angeles,glosangeles,california
Mendocino,gmendocino,california
Merced,gmerced,california
Modesto,gmodesto,california
Monterey,gmonterey,california
North Bay,gnorthbay,california
O.C.,gorangecounty,california
Oakland,geastbay,california
Palm Springs,gpalmsprings,california
Palmdale,gpalmdale,california
Redding,gredding,california
Sacramento,gsacramento,california
San Diego,gsandiego,california
San Fernando Valley,gsanfernandovalley,california
San Francisco,gsf,california
San Gabriel Valley,gsangabrielvalley,california
San Jose,gsanjose,california
San Luis Obispo,gsanluisobispo,california
San Mateo,gsanmateo,california
Santa Barbara,gsantabarbara,california
Santa Cruz,gsantacruz,california
Santa Maria,gsantamaria,california
Siskiyou,gsiskiyou,california
Stockton,gstockton,california
Susanville,gsusanville,california
Ventura,gventura,california
Visalia,gvisalia,california
Boulder,gboulder,colorado
Colorado Springs,gcoloradosprings,colorado
Denver,gdenver,colorado
Fort Collins,gfortcollins,colorado
Pueblo,gpueblo,colorado
Rockies,grockies,colorado
Western Slope,gwestslope,colorado
Eastern Connecticut,gnewlondon,connecticut
Hartford,ghartford,connecticut
New Haven,gnewhaven,connecticut
Northwest Connecticut,gnwct,connecticut
Northern Virginia,gnova,district of columbia
Southern Maryland,gsouthernmaryland,district of columbia
Washington D.C.,gdc,district of columbia
Daytona,gdaytona,florida
Fort Myers,gfortmyers,florida
Ft Lauderdale,gftlauderdale,florida
Gainesville,ggainesville,florida
Jacksonville,gjacksonville,florida
Keys,gkeys,florida
Lakeland,glakeland,florida
Miami,gmiami,florida
Ocala,gocala,florida
Okaloosa,gokaloosa,florida
Orlando,gorlando,florida
Panama City,gpanamacity,florida
Pensacola,gpensacola,florida
Sarasota,gsarasota,florida
Space Coast,gspacecoast,florida
St. Augustine,gstaugustine,florida
Tallahassee,gtallahassee,florida
Tampa,gtampa,florida
Treasure Coast,gtreasurecoast,florida
West Palm Beach,gwestpalmbeach,florida
Albany,galbanyga,georgia
Athens,gathensga,georgia
Atlanta,gatlanta,georgia
Augusta,gaugusta,georgia
Brunswick,gbrunswick,georgia
Columbus,gcolumbusga,georgia
Macon,gmacon,georgia
Northwest Georgia,gnwga,georgia
Savannah,gsavannah,georgia
Statesboro,gstatesboro,georgia
Valdosta,gvaldosta,georgia
Big Island,gbigisland,hawaii
Honolulu,ghonolulu,hawaii
Kauai,gkauai,hawaii
Maui,gmaui,hawaii
Boise,gboise,idaho
East Idaho,geastidaho,idaho
Lewiston,glewiston,idaho
Twin Falls,gtwinfalls,idaho
Bloomington,gbloomington,illinois
Carbondale,gcarbondale,illinois
Chambana,gchambana,illinois
Chicago,gchicago,illinois
Decatur,gdecatur,illinois
La Salle County,glasalle,illinois
Mattoon,gmattoon,illinois
Peoria,gpeoria,illinois
Rockford,grockford,illinois
Springfield,gspringfieldil,illinois
Western Illinois,gquincy,illinois
Bloomington,gbloomingtonin,indiana
Evansville,gevansville,indiana
Ft Wayne,gfortwayne,indiana
Indianapolis,gindianapolis,indiana
Kokomo,gkokomo,indiana
Lafayette,gtippecanoe,indiana
Muncie,gmuncie,indiana
Richmond,grichmondin,indiana
South Bend,gsouthbend,indiana
Terre Haute,gterrehaute,indiana
Ames,games,iowa
Cedar Rapids,gcedarrapids,iowa
Des Moines,gdesmoines,iowa
Dubuque,gdubuque,iowa
Fort Dodge,gfortdodge,iowa
Iowa City,giowacity,iowa
Mason City,gmasoncity,iowa
Ottumwa,gottumwa,iowa
Quad Cities,gquadcities,iowa
Sioux City,gsiouxcity,iowa
Waterloo,gwaterloo,iowa
Lawrence,glawrence,kansas
Manhattan,gmanhattanks,kansas
Salina,gsalina,kansas
Topeka,gtopeka,kansas
Wichita,gwichita,kansas
Bowling Green,gbowlinggreen,kentucky
Eastern Kentucky,geastky,kentucky
Lexington,glexington,kentucky
Louisville,glouisville,kentucky
Owensboro,gowensboro,kentucky
Western Kentucky,gwestky,kentucky
Alexandria,galexandria,louisiana
Baton Rouge,gbatonrouge,louisiana
Houma,ghouma,louisiana
Lafayette,glafayette,louisiana
Lake Charles,glakecharles,louisiana
Monroe,gmonroe,louisiana
New Orleans,gneworleans,louisiana
Shreveport,gshreveport,louisiana
Annapolis,gannapolis,maryland
Baltimore,gbaltimore,maryland
Cumberland Valley,gcumberlandvalley,maryland
Eastern Shore,geasternshore,maryland
Frederick,gfrederick,maryland
Western Maryland,gwesternmaryland,maryland
Boston,gboston,massachasutts
Cape Cod,gcapecod,massachasutts
South Coast,gsouthcoast,massachasutts
Springfield,gspringfield,massachasutts
Worcester,gworcester,massachasutts
Ann Arbor,gannarbor,michigan
Battle Creek,gbattlecreek,michigan
Central Michigan,gcentralmich,michigan
Detroit,gdetroit,michigan
Flint,gflint,michigan
Grand Rapids,ggrandrapids,michigan
Holland,gholland,michigan
Jackson,gjacksonmi,michigan
Kalamazoo,gkalamazoo,michigan
Lansing,glansing,michigan
Monroe,gmonroemi,michigan
Muskegon,gmuskegon,michigan
Northern Michigan,gnorthernmichigan,michigan
Port Huron,gporthuron,michigan
Saginaw,gsaginaw,michigan
Southwest Michigan,gswmi,michigan
Upper Peninsula,gup,michigan
Bemidji,gbemidji,minnesota
Brainerd,gbrainerd,minnesota
Duluth,gduluth,minnesota
Mankato,gmankato,minnesota
Minneapolis / St Paul,gminneapolis,minnesota
Rochester,grochestermn,minnesota
St. Cloud,gstcloud,minnesota
Biloxi,gbiloxi,mississippi
Hattiesburg,ghattiesburg,mississippi
Jackson,gjackson,mississippi
Meridian,gmeridian,mississippi
Natchez,gnatchez,mississippi
North Mississippi,gnorthmiss,mississippi
Columbia/Jeff City,gcolumbiamo,missouri
Joplin,gjoplin,missouri
Kansas City,gkc,missouri
Kirksville,gkirksville,missouri
Lake of the Ozarks,gloz,missouri
Southeast Missouri,gsemo,missouri
Springfield,gspringfieldmo,missouri
St. Joseph,gstjoseph,missouri
St. Louis,gstlouis,missouri
Billings,gbillings,montana
Bozeman,gbozeman,montana
Butte,gbutte,montana
Great Falls,ggreatfalls,montana
Helena,ghelena,montana
Kalispell,gkalispell,montana
Missoula,gmissoula,montana
Grand Island,ggrandisland,nebraska
Lincoln,glincoln,nebraska
North Platte,gnorthplatte,nebraska
Omaha,gomaha,nebraska
Scottsbluff,gscottsbluff,nebraska
Elko,gelko,nevada
Las Vegas,glasvegas,nevada
Reno,greno,nevada
Central Jersey,gcentraljersey,new jersey
Jersey Shore,gjerseyshore,new jersey
North Jersey,gnorthjersey,new jersey
South Jersey,gsouthjersey,new jersey
Albuquerque,galbuquerque,new mexico
Clovis / Portales,gclovis,new mexico
Farmington,gfarmington,new mexico
Las Cruces,glascruces,new mexico
Roswell / Carlsbad,groswell,new mexico
Santa Fe,gsantafe,new mexico
Albany,galbany,new york
Binghamton,gbinghamton,new york
Bronx,gbronx,new york
Brooklyn,gbrooklyn,new york
Buffalo,gbuffalo,new york
Catskills,gcatskills,new york
Chautauqua,gchautauqua,new york
Elmira,gelmira,new york
Fairfield,gfairfield,new york
Finger Lakes,gfingerlakes,new york
Glens Falls,gglensfalls,new york
Hudson Valley,ghudsonvalley,new york
Ithaca,githaca,new york
Long Island,glongisland,new york
