"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"1",55207,41295,9130,50,98,39,59,14,231,130,30,1522,278,1117,631,3554,1873,517,1452,37853,"16000US0103076","auburn"
"2",211827,47737,157915,460,468,445,973,1926,2319,3455,1521,19572,2763,11977,3746,7533,2968,1514,821,30276,"16000US0107000","birmingham"
"3",67269,42083,22082,246,112,254,460,460,738,638,328,6379,1239,3159,1452,3347,1053,536,205,41417,"16000US0121184","dothan"
"4",36760,21554,13857,191,89,362,268,282,518,405,303,4037,583,2338,313,999,360,285,53,25878,"16000US0128696","gadsden"
"5",181734,113089,56248,549,389,505,760,965,1113,928,1090,11751,2114,10203,3636,14232,6577,1801,1599,46821,"16000US0137000","huntsville"
"6",194829,88886,99107,1093,88,255,768,1165,1794,2024,1332,18302,3330,9549,3658,9739,2447,1778,959,38566,"16000US0150000","mobile"
"7",206346,78298,117266,994,314,720,1442,1539,2110,1391,895,15132,2266,10868,3159,10755,4881,1445,1123,42403,"16000US0151000","montgomery"
"8",92217,49646,39469,175,200,137,737,276,937,703,267,6150,1179,3931,947,3962,1843,551,706,36429,"16000US0177256","tuscaloosa"
"9",296039,195745,17843,650,309,454,726,843,1274,1133,1635,23949,6798,20018,7034,17136,7435,2706,1324,74648,"16000US0203000","anchorage"
"10",32021,21498,3031,150,0,25,119,152,186,281,162,3043,686,2250,779,1105,203,65,109,53140,"16000US0224230","fairbanks"
"11",32071,22256,NA,5,0,59,96,4,83,125,129,2610,894,2509,558,2225,1401,289,177,78547,"05000US02110","juneau"
"12",56307,47570,NA,63,132,87,245,87,232,276,155,7432,1259,4545,1214,3016,1047,177,144,60682,"05000US02122","kenaipeninsula"
"13",6477128,5130199,271600,23677,19361,44874,43195,36549,42934,53580,40936,502046,139942,379140,158843,359788,139286,42918,29353,48307,"04000US04","flagstaff"
"14",202102,178891,NA,894,270,859,1452,1522,2200,3662,1805,25032,6872,14155,5548,5640,2361,852,489,36976,"05000US04015","mohave"
"15",1467400,1139484,100206,6946,7039,17693,12809,10417,9883,12644,12448,108392,27356,71704,30959,78018,27202,9784,4351,44649,"16000US0455000","phoenix"
