ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9131569,HW276502,05/16/2013 05:00:00 AM,064XX S BISHOP ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,0725,007,17,67,06,1167808,1862185,2013,05/23/2013 12:40:15 AM,41.777376726456346,-87.66036516563541,"(41.777376726456346, -87.66036516563541)"
9133823,HW278459,05/16/2013 05:00:00 AM,016XX W 63RD ST,0810,THEFT,OVER $500,ALLEY,false,false,0725,007,15,67,06,1166279,1862881,2013,05/20/2013 12:42:09 AM,41.779319337547264,-87.66595068040502,"(41.779319337547264, -87.66595068040502)"
9132584,HW277267,05/16/2013 04:50:00 AM,063XX S ARTESIAN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0825,008,15,66,05,1161167,1862602,2013,05/22/2013 12:45:12 AM,41.77866106579065,-87.68469962001824,"(41.77866106579065, -87.68469962001824)"
9131576,HW276519,05/16/2013 04:35:00 AM,059XX S WESTERN AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER,false,false,0825,008,16,66,05,1161426,1865319,2013,05/18/2013 12:40:11 AM,41.78611151823906,-87.68367484603152,"(41.78611151823906, -87.68367484603152)"
9131952,HW276524,05/16/2013 04:29:00 AM,049XX N BROADWAY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,true,false,2033,020,48,3,14,1167454,1933310,2013,05/18/2013 12:40:11 AM,41.97255692319616,-87.65961627049155,"(41.97255692319616, -87.65961627049155)"
9131834,HW276507,05/16/2013 04:25:00 AM,063XX S CAMPBELL AVE,0460,BATTERY,SIMPLE,STREET,false,false,0825,008,15,66,08B,1160748,1862736,2013,05/22/2013 12:45:12 AM,41.77903744287882,-87.68623201533292,"(41.77903744287882, -87.68623201533292)"
9134561,HW279063,05/16/2013 04:00:00 AM,059XX S SAWYER AVE,0810,THEFT,OVER $500,APARTMENT,false,true,0822,008,16,66,06,1155787,1864724,2013,05/20/2013 12:42:09 AM,41.784593812243635,-87.7043663356773,"(41.784593812243635, -87.7043663356773)"
9131519,HW276506,05/16/2013 04:00:00 AM,016XX S HAMLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1014,010,24,29,08B,1151284,1891508,2013,05/19/2013 12:39:40 AM,41.858181973229996,-87.7201755658878,"(41.858181973229996, -87.7201755658878)"
9131790,HW276590,05/16/2013 04:00:00 AM,015XX N LOREL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,false,false,2532,025,37,25,14,1140369,1909667,2013,05/19/2013 12:39:40 AM,41.908219479216974,-87.75979548606318,"(41.908219479216974, -87.75979548606318)"
9131528,HW276504,05/16/2013 03:49:00 AM,076XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0421,004,7,43,14,1194144,1854988,2013,05/18/2013 12:40:11 AM,41.757021520860505,-87.56405483791771,"(41.757021520860505, -87.56405483791771)"
