Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alachua County Sheriff Department,FL,12,,583,4,56,69,454,2403,740,1576,87,,,,,,,,,
Alachua Police Dept,FL,12,9264,40,0,3,4,33,231,66,159,6,431.8,.0,32.4,43.2,356.2,2493.5,712.4,1716.3,64.8
Altamonte Springs Police Dept,FL,12,42296,142,1,9,35,97,1293,181,1042,70,335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5
Altha Police Dept,FL,12,548,0,0,0,0,0,4,2,2,0,.0,.0,.0,.0,.0,729.9,365.0,365.0,.0
Ansonia Police Dept,FL,12,19271,29,0,4,15,10,455,80,317,58,150.5,.0,20.8,77.8,51.9,2361.1,415.1,1645.0,301.0
Apalachicola Police Dept,FL,12,2273,3,0,1,0,2,24,15,8,1,132.0,.0,44.0,.0,88.0,1055.9,659.9,352.0,44.0
Apopka Police Dept,FL,12,43046,146,1,13,59,73,1316,279,977,60,339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4
Arcadia Police Dept,FL,12,7747,65,1,4,16,44,194,85,106,3,839.0,12.9,51.6,206.5,568.0,2504.2,1097.2,1368.3,38.7
Astatula Police Dept,FL,12,1861,3,0,1,0,2,23,11,9,3,161.2,.0,53.7,.0,107.5,1235.9,591.1,483.6,161.2
Atlantic Beach Police Dept,FL,12,12925,55,0,2,12,41,312,62,245,5,425.5,.0,15.5,92.8,317.2,2413.9,479.7,1895.6,38.7
Atlantis Police Dept,FL,12,2057,5,0,1,0,4,1,1,0,0,243.1,.0,48.6,.0,194.5,48.6,48.6,.0,.0
Auburndale Police Dept,FL,12,13862,46,0,5,17,24,865,171,671,23,331.8,.0,36.1,122.6,173.1,6240.1,1233.6,4840.6,165.9
Avon Police Dept,FL,12,18162,5,0,2,2,1,169,25,143,1,27.5,.0,11.0,11.0,5.5,930.5,137.7,787.4,5.5
Baker County Sheriff Department,FL,12,,63,0,4,9,50,293,51,228,14,,,,,,,,,
Bal Harbour Police Dept,FL,12,2609,1,0,0,0,1,76,3,73,0,38.3,.0,.0,.0,38.3,2913.0,115.0,2798.0,.0
Bartow Police Dept,FL,12,17740,116,1,6,21,88,994,228,740,26,653.9,5.6,33.8,118.4,496.1,5603.2,1285.2,4171.4,146.6
Bay County Sheriff Department,FL,12,,336,3,41,52,240,2694,702,1871,121,,,,,,,,,
Bay Harbor Islands Police Dept,FL,12,5841,7,0,2,1,4,64,28,30,6,119.8,.0,34.2,17.1,68.5,1095.7,479.4,513.6,102.7
Belle Glade Police Dept,FL,12,17908,366,4,11,35,316,696,272,387,37,2043.8,22.3,61.4,195.4,1764.6,3886.5,1518.9,2161.0,206.6
Belleair Police Dept,FL,12,3925,2,0,1,0,1,118,26,88,4,51.0,.0,25.5,.0,25.5,3006.4,662.4,2242.0,101.9
Belleair Beach Police Dept,FL,12,1582,1,0,0,0,1,35,7,26,2,63.2,.0,.0,.0,63.2,2212.4,442.5,1643.5,126.4
Belleair Bluffs Police D,FL,12,2060,9,0,0,2,7,70,18,48,4,436.9,.0,.0,97.1,339.8,3398.1,873.8,2330.1,194.2
Belleview Police Dept,FL,12,4571,16,1,2,5,8,204,68,121,15,350.0,21.9,43.8,109.4,175.0,4462.9,1487.6,2647.1,328.2
Berlin Police Dept,FL,12,19935,21,0,0,5,16,309,55,243,11,105.3,.0,.0,25.1,80.3,1550.0,275.9,1219.0,55.2
Bethany Beach Police Dept,FL,12,1089,1,0,0,0,1,121,17,103,1,91.8,.0,.0,.0,91.8,11111.1,1561.1,9458.2,91.8
Bethel Police Dept,FL,12,18822,6,0,3,2,1,321,48,263,10,31.9,.0,15.9,10.6,5.3,1705.5,255.0,1397.3,53.1
Biscayne Park Police Dept,FL,12,3169,4,0,0,1,3,32,19,13,0,126.2,.0,.0,31.6,94.7,1009.8,599.6,410.2,.0
Blades Police Dept,FL,12,1275,7,0,1,3,3,31,7,22,2,549.0,.0,78.4,235.3,235.3,2431.4,549.0,1725.5,156.9
Bloomfield Police Dept,FL,12,20557,31,0,5,8,18,505,69,404,32,150.8,.0,24.3,38.9,87.6,2456.6,335.7,1965.3,155.7
Blountstown Police Dept,FL,12,2557,3,0,1,0,2,42,7,34,1,117.3,.0,39.1,.0,78.2,1642.5,273.8,1329.7,39.1
Boca Raton Police Dept,FL,12,86493,164,0,12,62,90,2557,491,1965,101,189.6,.0,13.9,71.7,104.1,2956.3,567.7,2271.9,116.8
Bonifay Police Dept,FL,12,2834,5,0,1,0,4,41,22,17,2,176.4,.0,35.3,.0,141.1,1446.7,776.3,599.9,70.6
Bowling Green Police Dept,FL,12,2987,11,0,0,1,10,70,19,51,0,368.3,.0,.0,33.5,334.8,2343.5,636.1,1707.4,.0
Boynton Beach Police Dept,FL,12,69937,399,5,8,127,259,2988,627,2210,151,570.5,7.1,11.4,181.6,370.3,4272.4,896.5,3160.0,215.9
Bradenton Police Dept,FL,12,50878,341,4,23,94,220,2026,511,1440,75,670.2,7.9,45.2,184.8,432.4,3982.1,1004.4,2830.3,147.4
Bradenton Beach Police Dept,FL,12,1203,5,0,0,1,4,53,9,42,2,415.6,.0,.0,83.1,332.5,4405.7,748.1,3491.3,166.3
Bradford County Sheriff Department,FL,12,,86,0,11,2,73,330,163,154,13,,,,,,,,,
Branford Police Dept,FL,12,28055,21,0,0,10,11,675,56,595,24,74.9,.0,.0,35.6,39.2,2406.0,199.6,2120.8,85.5
Brevard County Sheriff Department,FL,12,,876,13,67,101,695,5233,1254,3788,191,,,,,,,,,
Bridgeport Police Dept,FL,12,146030,1760,22,388,606,744,5153,1377,2908,868,1205.2,15.1,265.7,415.0,509.5,3528.7,943.0,1991.4,594.4
Bridgeville Police Dept,FL,12,2104,17,0,2,2,13,70,14,52,4,808.0,.0,95.1,95.1,617.9,3327.0,665.4,2471.5,190.1
Bristol Police Dept,FL,12,60688,93,3,9,51,30,1590,355,1123,112,153.2,4.9,14.8,84.0,49.4,2620.0,585.0,1850.4,184.6
Brookfield Police Dept,FL,12,16662,2,0,0,0,2,191,36,149,6,12.0,.0,.0,.0,12.0,1146.3,216.1,894.3,36.0
Brooksville Police Dept,FL,12,7841,78,0,6,22,50,459,65,382,12,994.8,.0,76.5,280.6,637.7,5853.8,829.0,4871.8,153.0
Broward County Sheriff Department,FL,12,,335,2,23,76,234,1113,289,770,54,,,,,,,,,
Bunnell Police Dept,FL,12,2754,44,0,1,4,39,115,39,69,7,1597.7,.0,36.3,145.2,1416.1,4175.7,1416.1,2505.4,254.2
Calhoun County Sheriff Department,FL,12,,15,0,1,0,14,68,24,39,5,,,,,,,,,
Camden/Wyoming Police Dept,FL,12,3558,17,0,1,5,11,295,18,275,2,477.8,.0,28.1,140.5,309.2,8291.2,505.9,7729.1,56.2
Canton Town Police Dept,FL,12,10328,1,0,1,0,0,88,7,78,3,9.7,.0,9.7,.0,.0,852.1,67.8,755.2,29.0
Cape Coral Police Dept,FL,12,159625,229,4,16,41,168,3521,860,2547,114,143.5,2.5,10.0,25.7,105.2,2205.8,538.8,1595.6,71.4
Carrabelle Police Dept,FL,12,2823,2,0,0,0,2,18,7,11,0,70.8,.0,.0,.0,70.8,637.6,248.0,389.7,.0
Casselberry Police Dept,FL,12,26747,161,4,9,42,106,1070,205,822,43,601.9,15.0,33.6,157.0,396.3,4000.4,766.4,3073.2,160.8
Cedar Key Police Dept,FL,12,702,3,0,0,0,3,37,11,25,1,427.4,.0,.0,.0,427.4,5270.7,1567.0,3561.3,142.5
Center Hill Police Dept,FL,12,1052,9,0,2,1,6,13,5,7,1,855.5,.0,190.1,95.1,570.3,1235.7,475.3,665.4,95.1
Charlotte County Sheriff Department,FL,12,,387,1,24,33,329,3229,861,2252,116,,,,,,,,,
Chattahoochee Police Dept,FL,12,3686,40,0,1,1,38,80,36,40,4,1085.2,.0,27.1,27.1,1030.9,2170.4,976.7,1085.2,108.5
