Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name
Alachua County Sheriff Department,FL,12,,583.0,4,56.0,69,454,2403.0,740,1576.0,87,,,,,,,,,,alachua county
Alachua Police Dept,FL,12,9264.0,40.0,0,3.0,4,33,231.0,66,159.0,6,431.8,0.0,32.4,43.2,356.2,2493.5,712.4,1716.3,64.8,alachua
Altamonte Springs Police Dept,FL,12,42296.0,142.0,1,9.0,35,97,1293.0,181,1042.0,70,335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5,altamonte springs
Altha Police Dept,FL,12,548.0,0.0,0,0.0,0,0,4.0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,729.9,365.0,365.0,0.0,altha
Ansonia Police Dept,FL,12,19271.0,29.0,0,4.0,15,10,455.0,80,317.0,58,150.5,0.0,20.8,77.8,51.9,2361.1,415.1,1645.0,301.0,ansonia
Apalachicola Police Dept,FL,12,2273.0,3.0,0,1.0,0,2,24.0,15,8.0,1,132.0,0.0,44.0,0.0,88.0,1055.9,659.9,352.0,44.0,apalachicola
Apopka Police Dept,FL,12,43046.0,146.0,1,13.0,59,73,1316.0,279,977.0,60,339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4,apopka
Arcadia Police Dept,FL,12,7747.0,65.0,1,4.0,16,44,194.0,85,106.0,3,839.0,12.9,51.6,206.5,568.0,2504.2,1097.2,1368.3,38.7,arcadia
Astatula Police Dept,FL,12,1861.0,3.0,0,1.0,0,2,23.0,11,9.0,3,161.2,0.0,53.7,0.0,107.5,1235.9,591.1,483.6,161.2,astatula
Atlantic Beach Police Dept,FL,12,12925.0,55.0,0,2.0,12,41,312.0,62,245.0,5,425.5,0.0,15.5,92.8,317.2,2413.9,479.7,1895.6,38.7,atlantic beach
Atlantis Police Dept,FL,12,2057.0,5.0,0,1.0,0,4,1.0,1,0.0,0,243.1,0.0,48.6,0.0,194.5,48.6,48.6,0.0,0.0,atlantis
Auburndale Police Dept,FL,12,13862.0,46.0,0,5.0,17,24,865.0,171,671.0,23,331.8,0.0,36.1,122.6,173.1,6240.1,1233.6,4840.6,165.9,auburndale
Avon Police Dept,FL,12,18162.0,5.0,0,2.0,2,1,169.0,25,143.0,1,27.5,0.0,11.0,11.0,5.5,930.5,137.7,787.4,5.5,avon
Baker County Sheriff Department,FL,12,,63.0,0,4.0,9,50,293.0,51,228.0,14,,,,,,,,,,baker county
Bal Harbour Police Dept,FL,12,2609.0,1.0,0,0.0,0,1,76.0,3,73.0,0,38.3,0.0,0.0,0.0,38.3,2913.0,115.0,2798.0,0.0,bal harbour
Bartow Police Dept,FL,12,17740.0,116.0,1,6.0,21,88,994.0,228,740.0,26,653.9,5.6,33.8,118.4,496.1,5603.2,1285.2,4171.4,146.6,bartow
Bay County Sheriff Department,FL,12,,336.0,3,41.0,52,240,2694.0,702,1871.0,121,,,,,,,,,,bay county
Bay Harbor Islands Police Dept,FL,12,5841.0,7.0,0,2.0,1,4,64.0,28,30.0,6,119.8,0.0,34.2,17.1,68.5,1095.7,479.4,513.6,102.7,bay harbor islands
Belle Glade Police Dept,FL,12,17908.0,366.0,4,11.0,35,316,696.0,272,387.0,37,2043.8,22.3,61.4,195.4,1764.6,3886.5,1518.9,2161.0,206.6,belle glade
Belleair Police Dept,FL,12,3925.0,2.0,0,1.0,0,1,118.0,26,88.0,4,51.0,0.0,25.5,0.0,25.5,3006.4,662.4,2242.0,101.9,belleair
