county,county_fips,place,place_fips,state_fips,place,url,state
,,auburn city,3076,01,Auburn,gauburn,alabama
,,birmingham city,7000,01,Birmingham,gbirmingham,alabama
,,dothan city,21184,01,Dothan,gdothan,alabama
,,gadsden city,28696,01,Gadsden,ggadsden,alabama
,,huntsville city,37000,01,Huntsville,ghuntsville,alabama
mobile county,097,mobile city,50000,01,Mobile,gmobile,alabama
montgomery county,101,montgomery city,51000,01,Montgomery,gmontgomery,alabama
,,muscle shoals city,53016,01,Muscle Shoals,gshoals,alabama
tuscaloosa county,125,tuscaloosa city,77256,01,Tuscaloosa,gtuscaloosa,alabama
anchorage borough,020,anchorage municipality,3000,02,Anchorage,ganchorage,alaska
,,fairbanks city,24230,02,Fairbanks,gfairbanks,alaska
juneau borough,110,,,02,Juneau,gjuneau,alaska
kenai peninsula borough,122,,,02,Kenai Peninsula,gkenaipeninsula,alaska
,,,,04,Flagstaff/Sedona,gflagstaff,arizona
,,,,04,Mohave County,gmohave,arizona
,,phoenix city,55000,04,Phoenix,gphoenix,arizona
,,prescott city,57380,04,Prescott,gprescott,arizona
,,show low city,66470,04,Show Low,gshowlow,arizona
,,sierra vista city,66820,04,Sierra Vista,gsierravista,arizona
,,tucson city,77000,04,Tucson,gtucson,arizona
yuma county,027,yuma city,85540,04,Yuma,gyuma,arizona
,,fayetteville city,23290,05,Fayetteville,gfayetteville,arkansas
,,fort smith city,24550,05,Fort Smith,gfortsmith,arkansas
,,jonesboro city,35710,05,Jonesboro,gjonesboro,arkansas
,,little rock city,41000,05,Little Rock,glittlerock,arkansas
,,bakersfield city,3526,06,Bakersfield,gbakersfield,california
,,chico city,13014,06,Chico,gchico,california
fresno county,019,fresno city,27000,06,Fresno,gfresno,california
,,,,06,Humboldt County,ghumboldt,california
,,,,06,Imperial County,gimperial,california
,,,,06,Inland Empire,ginlandempire,california
,,long beach city,43000,06,Long Beach,glongbeach,california
los angeles county,037,los angeles city,44000,06,Los Angeles,glosangeles,california
mendocino county,045,mendocino cdp,46814,06,Mendocino,gmendocino,california
merced county,047,merced city,46898,06,Merced,gmerced,california
,,modesto city,48354,06,Modesto,gmodesto,california
monterey county,053,monterey city,48872,06,Monterey,gmonterey,california
,,,,06,North Bay,gnorthbay,california
,,,,06,O.C.,gorangecounty,california
,,oakland city,53000,06,Oakland,geastbay,california
,,palm springs city,55254,06,Palm Springs,gpalmsprings,california
,,palmdale city,55156,06,Palmdale,gpalmdale,california
,,redding city,59920,06,Redding,gredding,california
sacramento county,067,sacramento city,64000,06,Sacramento,gsacramento,california
san diego county,073,san diego city,66000,06,San Diego,gsandiego,california
,,,,06,San Fernando Valley,gsanfernandovalley,california
san francisco county,075,san francisco city,67000,06,San Francisco,gsf,california
,,,,06,San Gabriel Valley,gsangabrielvalley,california
,,san jose city,68000,06,San Jose,gsanjose,california
san luis obispo county,079,san luis obispo city,68154,06,San Luis Obispo,gsanluisobispo,california
san mateo county,081,san mateo city,68252,06,San Mateo,gsanmateo,california
santa barbara county,083,santa barbara city,69070,06,Santa Barbara,gsantabarbara,california
santa cruz county,087,santa cruz city,69112,06,Santa Cruz,gsantacruz,california
,,santa maria city,69196,06,Santa Maria,gsantamaria,california
siskiyou county,093,,,06,Siskiyou,gsiskiyou,california
,,stockton city,75000,06,Stockton,gstockton,california
,,susanville city,77364,06,Susanville,gsusanville,california
ventura county,111,,,06,Ventura,gventura,california
,,visalia city,82954,06,Visalia,gvisalia,california
boulder county,013,boulder city,7850,08,Boulder,gboulder,colorado
,,colorado springs city,16000,08,Colorado Springs,gcoloradosprings,colorado
denver county,031,denver city,20000,08,Denver,gdenver,colorado
,,fort collins city,27425,08,Fort Collins,gfortcollins,colorado
pueblo county,101,pueblo city,62000,08,Pueblo,gpueblo,colorado
,,,,08,Rockies,grockies,colorado
,,,,08,Western Slope,gwestslope,colorado
,,,,09,Eastern Connecticut,gnewlondon,connecticut
hartford county,003,hartford city,37000,09,Hartford,ghartford,connecticut
new haven county,009,new haven city,52000,09,New Haven,gnewhaven,connecticut
,,,,09,Northwest Connecticut,gnwct,connecticut
,,,,11,Northern Virginia,gnova,district of columbia
,,,,11,Southern Maryland,gsouthernmaryland,district of columbia
,,,,11,Washington D.C.,gdc,district of columbia
,,,,12,Daytona,gdaytona,florida
,,fort myers city,24125,12,Fort Myers,gfortmyers,florida
,,,,12,Ft Lauderdale,gftlauderdale,florida
,,gainesville city,25175,12,Gainesville,ggainesville,florida
,,jacksonville city,35000,12,Jacksonville,gjacksonville,florida
,,,,12,Keys,gkeys,florida
,,lakeland city,38250,12,Lakeland,glakeland,florida
,,miami city,45000,12,Miami,gmiami,florida
,,ocala city,50750,12,Ocala,gocala,florida
okaloosa county,091,,,12,Okaloosa,gokaloosa,florida
,,orlando city,53000,12,Orlando,gorlando,florida
,,panama city city,54700,12,Panama City,gpanamacity,florida
,,pensacola city,55925,12,Pensacola,gpensacola,florida
sarasota county,115,sarasota city,64175,12,Sarasota,gsarasota,florida
,,,,12,Space Coast,gspacecoast,florida
,,st. augustine city,62500,12,St. Augustine,gstaugustine,florida
,,tallahassee city,70600,12,Tallahassee,gtallahassee,florida
,,tampa city,71000,12,Tampa,gtampa,florida
,,,,12,Treasure Coast,gtreasurecoast,florida
,,west palm beach city,76600,12,West Palm Beach,gwestpalmbeach,florida
,,albany city,1052,13,Albany,galbanyga,georgia
,,,,13,Athens,gathensga,georgia
,,atlanta city,4000,13,Atlanta,gatlanta,georgia
,,,,13,Augusta,gaugusta,georgia
,,brunswick city,11560,13,Brunswick,gbrunswick,georgia
,,columbus city,19000,13,Columbus,gcolumbusga,georgia
macon county,193,macon city,49000,13,Macon,gmacon,georgia
,,,,13,Northwest Georgia,gnwga,georgia
,,savannah city,69000,13,Savannah,gsavannah,georgia
,,statesboro city,73256,13,Statesboro,gstatesboro,georgia
,,valdosta city,78800,13,Valdosta,gvaldosta,georgia
,,,,15,Big Island,gbigisland,hawaii
honolulu county,003,,,15,Honolulu,ghonolulu,hawaii
kauai county,007,,,15,Kauai,gkauai,hawaii
maui county,009,,,15,Maui,gmaui,hawaii
boise county,015,,,16,Boise,gboise,idaho
,,,,16,East Idaho,geastidaho,idaho
,,lewiston city,46540,16,Lewiston,glewiston,idaho
twin falls county,083,twin falls city,82810,16,Twin Falls,gtwinfalls,idaho
,,bloomington city,6613,17,Bloomington,gbloomington,illinois
,,carbondale city,11163,17,Carbondale,gcarbondale,illinois
,,,,17,Chambana,gchambana,illinois
,,chicago city,14000,17,Chicago,gchicago,illinois
,,decatur city,18823,17,Decatur,gdecatur,illinois
,,,,17,La Salle County,glasalle,illinois
,,mattoon city,47553,17,Mattoon,gmattoon,illinois
peoria county,143,peoria city,59000,17,Peoria,gpeoria,illinois
,,rockford city,65000,17,Rockford,grockford,illinois
,,springfield city,72000,17,Springfield,gspringfieldil,illinois
,,,,17,Western Illinois,gquincy,illinois
,,bloomington city,5860,18,Bloomington,gbloomingtonin,indiana
,,evansville city,22000,18,Evansville,gevansville,indiana
,,,,18,Ft Wayne,gfortwayne,indiana
,,,,18,Indianapolis,gindianapolis,indiana
,,kokomo city,40392,18,Kokomo,gkokomo,indiana
,,lafayette city,40788,18,Lafayette,gtippecanoe,indiana
,,muncie city,51876,18,Muncie,gmuncie,indiana
,,richmond city,64260,18,Richmond,grichmondin,indiana
,,south bend city,71000,18,South Bend,gsouthbend,indiana
,,terre haute city,75428,18,Terre Haute,gterrehaute,indiana
,,ames city,1855,19,Ames,games,iowa
,,cedar rapids city,12000,19,Cedar Rapids,gcedarrapids,iowa
des moines county,057,des moines city,21000,19,Des Moines,gdesmoines,iowa
dubuque county,061,dubuque city,22395,19,Dubuque,gdubuque,iowa
,,fort dodge city,28515,19,Fort Dodge,gfortdodge,iowa
,,iowa city city,38595,19,Iowa City,giowacity,iowa
,,mason city city,50160,19,Mason City,gmasoncity,iowa
,,ottumwa city,60465,19,Ottumwa,gottumwa,iowa
,,,,19,Quad Cities,gquadcities,iowa
,,sioux city city,73335,19,Sioux City,gsiouxcity,iowa
,,waterloo city,82425,19,Waterloo,gwaterloo,iowa
,,lawrence city,38900,20,Lawrence,glawrence,kansas
,,manhattan city,44250,20,Manhattan,gmanhattanks,kansas
,,salina city,62700,20,Salina,gsalina,kansas
,,topeka city,71000,20,Topeka,gtopeka,kansas
wichita county,203,wichita city,79000,20,Wichita,gwichita,kansas
,,bowling green city,8902,21,Bowling Green,gbowlinggreen,kentucky
,,,,21,Eastern Kentucky,geastky,kentucky
,,,,21,Lexington,glexington,kentucky
,,,,21,Louisville,glouisville,kentucky
,,owensboro city,58620,21,Owensboro,gowensboro,kentucky
,,,,21,Western Kentucky,gwestky,kentucky
,,alexandria city,975,22,Alexandria,galexandria,louisiana
,,baton rouge city,5000,22,Baton Rouge,gbatonrouge,louisiana
,,houma city,36255,22,Houma,ghouma,louisiana
lafayette parish,055,lafayette city,40735,22,Lafayette,glafayette,louisiana
,,lake charles city,41155,22,Lake Charles,glakecharles,louisiana
,,monroe city,51410,22,Monroe,gmonroe,louisiana
,,new orleans city,55000,22,New Orleans,gneworleans,louisiana
,,shreveport city,70000,22,Shreveport,gshreveport,louisiana
,,annapolis city,1600,24,Annapolis,gannapolis,maryland
baltimore county,005,baltimore city,4000,24,Baltimore,gbaltimore,maryland
,,,,24,Cumberland Valley,gcumberlandvalley,maryland
,,,,24,Eastern Shore,geasternshore,maryland
frederick county,021,frederick city,30325,24,Frederick,gfrederick,maryland
,,,,24,Western Maryland,gwesternmaryland,maryland
,,boston city,9460,,Boston,gboston,massachasutts
,,,,,Cape Cod,gcapecod,massachasutts
,,,,,South Coast,gsouthcoast,massachasutts
,,springfield town,73330,,Springfield,gspringfield,massachasutts
worcester county,047,worcester city,82000,,Worcester,gworcester,massachasutts
,,ann arbor city,3000,26,Ann Arbor,gannarbor,michigan
,,battle creek city,5920,26,Battle Creek,gbattlecreek,michigan
,,,,26,Central Michigan,gcentralmich,michigan
,,detroit city,22000,26,Detroit,gdetroit,michigan
,,flint city,29000,26,Flint,gflint,michigan
,,grand rapids city,34000,26,Grand Rapids,ggrandrapids,michigan
,,holland township,38620,26,Holland,gholland,michigan
jackson county,075,jackson city,41420,26,Jackson,gjacksonmi,michigan
kalamazoo county,077,kalamazoo city,42160,26,Kalamazoo,gkalamazoo,michigan
,,lansing city,46000,26,Lansing,glansing,michigan
monroe county,115,monroe city,55020,26,Monroe,gmonroemi,michigan
muskegon county,121,muskegon city,56320,26,Muskegon,gmuskegon,michigan
,,,,26,Northern Michigan,gnorthernmichigan,michigan
,,port huron city,65820,26,Port Huron,gporthuron,michigan
saginaw county,145,saginaw city,70520,26,Saginaw,gsaginaw,michigan
,,,,26,Southwest Michigan,gswmi,michigan
,,,,26,Upper Peninsula,gup,michigan
,,bemidji city,5068,27,Bemidji,gbemidji,minnesota
,,brainerd city,7300,27,Brainerd,gbrainerd,minnesota
,,duluth city,17000,27,Duluth,gduluth,minnesota
,,mankato city,39878,27,Mankato,gmankato,minnesota
,,,,27,Minneapolis / St Paul,gminneapolis,minnesota
,,rochester city,54880,27,Rochester,grochestermn,minnesota
,,st. cloud city,56896,27,St. Cloud,gstcloud,minnesota
,,biloxi city,6220,28,Biloxi,gbiloxi,mississippi
,,hattiesburg city,31020,28,Hattiesburg,ghattiesburg,mississippi
jackson county,059,jackson city,36000,28,Jackson,gjackson,mississippi
,,meridian city,46640,28,Meridian,gmeridian,mississippi
,,natchez city,50440,28,Natchez,gnatchez,mississippi
,,,,28,North Mississippi,gnorthmiss,mississippi
,,,,29,Columbia/Jeff City,gcolumbiamo,missouri
,,joplin city,37592,29,Joplin,gjoplin,missouri
,,kansas city city,38000,29,Kansas City,gkc,missouri
,,kirksville city,39026,29,Kirksville,gkirksville,missouri
,,,,29,Lake of the Ozarks,gloz,missouri
,,,,29,Southeast Missouri,gsemo,missouri
,,springfield city,70000,29,Springfield,gspringfieldmo,missouri
