,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","168.784*","140.24*","114.556**","127.77**","114.561**","167.748*","167.909*"
"","(67.822)","(59.385)","(43.193)","(42.927)","(42.597)","(68.249)","(69.356)"
"avg_commute","1.234","1.066","0.33","1.16","1.134","1.298","1.191"
"","(1.488)","(1.475)","(1.642)","(1.716)","(1.683)","(1.505)","(1.763)"
"male_epop","-95.588","","","","","-152.829","-208.798"
"","(120.827)","","","","","(185.609)","(184.763)"
"rape_per_capita","28385.345","22976.008","9795.289","20009.949","14364.269","26078.896","21211.441"
"","(32706.452)","(33087.411)","(31693.94)","(31862.004)","(31363.717)","(33372.124)","(32954.729)"
"property_crime_per_capita","-268.069","-222.788","-77.151","-189.435","-165.935","-231.316","-209.067"
"","(377.316)","(389.004)","(371.398)","(376.918)","(369.714)","(389.98)","(385.145)"
"le_per_capita","-609.945","-657.919","-645.85","-663.842","-457.46","-595.821","-352.134"
"","(738.071)","(737.588)","(733.299)","(738.227)","(731.02)","(743.014)","(739.406)"
"female_epop","","-33.273","","","","63.285","83.148"
"","","(101.331)","","","","(155.126)","(162.832)"
"male_wage_p50","","","1.273","","4.884*","","5.287*"
"","","","(1.335)","","(2.433)","","(2.467)"
"female_wage_p50","","","","-0.245","-5.67","","-5.517"
"","","","","(1.773)","(3.214)","","(3.405)"
"R2","0.027","0.02","0.03","0.019","0.069","0.029","0.087"
"N","81","81","81","81","81","81","81"
