,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","171.702***","189.781***","142.106**","165.735***","180.482**","171.702***","173.858***"
"","(32.745)","(30.219)","(51.347)","(33.268)","(59.273)","(32.745)","(43.812)"
"avg_commute","1.084","1.033","0.784","-0.214","-0.28","1.084",""
"","(1.005)","(1.002)","(0.952)","(1.067)","(1.119)","(1.005)",""
"rape_per_capita","23358.849","14862.107","15899.024","9160.336","10669.944","23358.849","12334.802"
"","(21751.588)","(22929.431)","(22263.858)","(21361.844)","(20536.384)","(21751.588)","(19972.185)"
"property_crime_per_capita","23.696","50.67","66.373","88.321","76.798","23.696","91.845"
"","(313.104)","(315.806)","(316.734)","(302.47)","(301.858)","(313.104)","(279.121)"
"le_per_capita","273.794","404.956","382.273","422.476","390.476","273.794","330.673"
"","(343.803)","(367.898)","(358.114)","(325.352)","(341.741)","(343.803)","(314.189)"
"unemployment","","-164.18","","","","",""
"","","(119.562)","","","","",""
"male_epop","","","74.917","","-39.954","","-36.989"
"","","","(75.231)","","(105.852)","","(102.13)"
"female_wage_p50","","","","2.202**","2.585*","","2.425*"
"","","","","(0.766)","(1.167)","","(1)"
"R2","0.004","0.006","0.005","0.008","0.008","0.004","0.008"
"N","184497","184497","184497","184497","184497","184497","184497"
