,location,City,State,B01001_001,B19013_001,B01001A_001,B01001B_001,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,Agency,State_y,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
4,"Jacksonville, FL, USA",Jacksonville,FL,817602.0,49192.0,496761.0,249577.0,2733.0,1217.0,2306.0,4129.0,4334.0,7011.0,6938.0,4717.0,77245.0,18022.0,40539.0,21313.0,41399.0,12087.0,5099.0,2622.0,Jacksonville,FL,12,840660.0,5189.0,93,341.0,1371,3384,34674.0,7632,25403.0,1639,617.3,11.1,40.6,163.1,402.5,4124.6,907.9,3021.8,195.0
37,"Columbus, OH, USA",Columbus,OH,779573.0,43348.0,490453.0,216409.0,2526.0,1051.0,1755.0,3329.0,3709.0,5050.0,7261.0,4315.0,64223.0,14083.0,34924.0,13887.0,53101.0,16320.0,5593.0,3722.0,Columbus Police Dept,OH,7,797384.0,2341.0,32,255.0,1473,581,18713.0,6846,10232.0,1635,,,,,,,,,
53,"Seattle, WA, USA",Seattle,WA,603174.0,61856.0,425715.0,46734.0,2313.0,761.0,1827.0,2109.0,1653.0,1981.0,2513.0,3527.0,27124.0,9879.0,29377.0,14230.0,72131.0,29340.0,11291.0,8072.0,Seattle Police Dept,WA,12,626865.0,3746.0,23,119.0,1421,2183,31931.0,6523,21852.0,3556,597.6,3.7,19.0,226.7,348.2,5093.8,1040.6,3485.9,567.3
41,"Oklahoma City, OK, USA",Oklahoma City,OK,572742.0,44973.0,379436.0,83022.0,2203.0,2035.0,5008.0,3526.0,3723.0,4139.0,4945.0,3084.0,45554.0,11490.0,32308.0,9465.0,33551.0,10434.0,5004.0,2107.0,Oklahoma City Police Dept,OK,12,595607.0,5474.0,85,389.0,1209,3791,35390.0,9854,21162.0,4374,919.1,14.3,65.3,203.0,636.5,5941.8,1654.4,3553.0,734.4
8,"Atlanta, GA, USA",Atlanta,GA,419250.0,45946.0,163060.0,226917.0,1544.0,757.0,1364.0,1925.0,1610.0,3271.0,4100.0,2075.0,29217.0,3860.0,16854.0,4933.0,38521.0,15497.0,7338.0,3036.0,Atlanta Police Dept,GA,12,437041.0,6027.0,83,113.0,2276,3555,28554.0,6192,17212.0,5150,1379.0,19.0,25.9,520.8,813.4,6533.5,1416.8,3938.3,1178.4
36,"Cleveland, OH, USA",Cleveland,OH,403163.0,27470.0,165270.0,212121.0,1908.0,963.0,1175.0,2994.0,3860.0,6026.0,8541.0,3757.0,43254.0,7409.0,18391.0,6489.0,10676.0,3713.0,1440.0,685.0,Cleveland,OH,12,393781.0,5449.0,84,363.0,3252,1750,24309.0,9740,10808.0,3761,1383.8,21.3,92.2,825.8,444.4,6173.2,2473.5,2744.7,955.1
6,"Miami, FL, USA",Miami,FL,396069.0,30270.0,291795.0,81693.0,3042.0,5397.0,12673.0,5247.0,4533.0,3674.0,3811.0,6023.0,39454.0,3728.0,10664.0,8413.0,18073.0,6706.0,4396.0,1734.0,Miami Police Dept,FL,12,414327.0,4856.0,69,65.0,2096,2626,22271.0,4255,15305.0,2711,1172.0,16.7,15.7,505.9,633.8,5375.2,1027.0,3693.9,654.3
110,"Raleigh, NC, USA",Raleigh,NC,395091.0,52819.0,236068.0,117292.0,724.0,741.0,3065.0,1251.0,1844.0,1807.0,1627.0,1032.0,19126.0,5313.0,16286.0,7419.0,36949.0,12276.0,3920.0,3311.0,Raleigh Police Dept,NC,12,420594.0,1780.0,17,113.0,665,985,13779.0,3036,9812.0,931,423.2,4.0,26.9,158.1,234.2,3276.1,721.8,2332.9,221.4
44,"Tulsa, OK, USA",Tulsa,OK,390704.0,40268.0,262955.0,59595.0,1384.0,943.0,3070.0,2040.0,2642.0,2723.0,3119.0,2004.0,30346.0,7495.0,18322.0,8402.0,23625.0,6993.0,4502.0,1803.0,Tulsa Police Dept,OK,12,398904.0,3949.0,42,316.0,1062,2529,20807.0,6235,12162.0,2410,990.0,10.5,79.2,266.2,634.0,5216.0,1563.0,3048.9,604.2
25,"Wichita, KS, USA",Wichita,KS,377906.0,45625.0,276718.0,41018.0,996.0,775.0,1963.0,2153.0,2313.0,2499.0,2934.0,2105.0,31624.0,8963.0,19859.0,6444.0,22461.0,7177.0,2496.0,1535.0,Wichita Police Dept,KS,12,386409.0,2869.0,23,228.0,495,2123,21070.0,3919,15331.0,1820,742.5,6.0,59.0,128.1,549.4,5452.8,1014.2,3967.6,471.0
