"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"1","Alabama, USA","Alabama","Alabama",4747424,42934,3307557,1244112,18195,12195,23593,46193,42564,54700,55079,30709,471910,82352,227286,89907,210681,74184,27399,17689
"2","Auburn, AL, USA","Auburn","AL",52232,37460,39241,9324,28,56,74,110,44,135,116,20,1610,222,915,517,3555,1562,517,1394
"3","Birmingham, AL, USA","Birmingham","AL",214348,31898,49662,158251,853,444,909,1420,1670,2241,3070,1825,20177,3049,11446,3857,7990,2888,1632,692
"4","Dothan, AL, USA","Dothan","AL",64904,42836,41592,20479,265,110,292,349,504,611,493,379,6087,1364,2979,1522,3146,1005,562,291
"5","Gadsden, AL, USA","Gadsden","AL",37014,28419,22118,13267,85,102,206,517,328,452,586,299,3848,606,2019,505,991,481,270,55
"6","Huntsville, AL, USA","Huntsville","AL",177879,48043,112019,53975,478,406,507,836,731,1167,1217,959,11330,2262,9452,3276,14021,6029,1682,1593
"7","Mobile, AL, USA","Mobile","AL",195457,38240,90105,98089,874,316,396,906,1021,1717,2188,1420,17563,2718,9738,3933,9292,2304,1778,1046
"8","Montgomery, AL, USA","Montgomery","AL",205548,43674,80786,115581,708,450,746,969,1495,2085,1764,1091,15954,2739,9362,2824,10826,5092,1688,1027
"9","Muscle Shoals, AL, USA","Muscle Shoals","AL",13068,51114,10545,2083,4,0,65,156,107,71,88,57,1528,389,529,274,687,149,81,93
"10","Tuscaloosa, AL, USA","Tuscaloosa","AL",89035,34359,46927,38947,126,228,192,541,405,902,738,249,5936,1198,3672,918,3715,1537,739,527
"11","Alaska, USA","Alaska","Alaska",700703,69014,472504,23426,1223,1093,1636,2989,2267,3466,4233,2939,67463,16722,47688,17003,35924,13711,4573,3318
"12","Arizona, USA","Arizona","Arizona",6337373,50752,4987541,252127,22193,19848,46052,45912,37742,44431,48898,40587,486529,140284,363029,149974,346128,133912,41529,29155
"13","Sedona, AZ, USA","Sedona","AZ",10216,52204,9862,99,0,0,21,50,0,87,10,40,478,192,846,134,1032,394,285,169
"14","Mohave, AZ, USA","Mohave","AZ",15072,44431,13647,153,0,35,45,233,115,143,261,110,1816,389,1162,502,418,114,35,16
"15","Phoenix, AZ, USA","Phoenix","AZ",1455565,48596,1130614,92416,6633,7056,19072,13656,11692,11223,11163,11829,106494,26413,72905,29125,74474,25357,9621,4324
"16","Prescott, AZ, USA","Prescott","AZ",40055,43867,36888,173,28,11,34,239,156,280,199,248,2974,1032,2896,1050,3192,1507,538,427
"17","Show Low, AZ, USA","Show Low","AZ",10493,36941,9339,279,32,0,24,58,123,154,36,38,1007,369,758,337,320,151,23,58
"18","Sierra Vista, AZ, USA","Sierra Vista","AZ",43970,56671,32697,3058,51,61,47,193,109,89,232,159,2504,894,2760,1738,2582,1494,171,224
"19","Tucson, AZ, USA","Tucson","AZ",5640,86075,4689,328,0,39,0,27,0,0,26,37,224,179,497,204,328,146,76,0
"20","Yuma, AZ, USA","Yuma","AZ",92367,44113,64143,3000,487,374,920,978,928,543,907,601,6566,2937,4502,2087,2639,1314,290,120
"21","Arkansas, USA","Arkansas","Arkansas",2895928,40149,2271277,449283,10686,8051,15312,30822,22841,28901,32085,18136,330084,56484,137363,43371,119495,36535,15356,9347
"22","Fayetteville, AR, USA","Fayetteville","AR",72914,35970,61349,4708,76,16,80,197,391,248,369,479,3673,1018,3703,747,5452,2085,842,775
"23","Fort Smith, AR, USA","Fort Smith","AR",85838,37340,67686,7204,377,407,980,730,1012,646,663,507,7918,1534,4278,1672,3653,1157,786,264
"24","Jonesboro, AR, USA","Jonesboro","AR",66096,38415,51630,12043,224,22,327,413,416,380,550,383,5649,979,2863,746,3532,938,569,485
"25","Little Rock, AR, USA","Little Rock","AR",192185,44392,98203,81129,361,658,724,989,575,1218,1426,995,13193,2871,9609,2611,13921,4679,3346,1450
"26","Bakersfield, CA, USA","Bakersfield","CA",339761,54656,213665,27914,1987,1984,3637,2066,2214,2258,3450,3655,24585,6586,16297,6975,11709,4088,1927,859
"27","Chico, CA, USA","Chico","CA",85605,41632,70227,1642,319,114,143,328,155,301,458,446,3929,2000,4394,2027,5306,1498,572,509
"28","Fresno, CA, USA","Fresno","CA",489922,43440,264601,36614,5248,3651,7508,4056,3400,3572,4714,4073,31355,7881,23548,9431,18205,4717,2650,1409
"29","Humboldt County, CA, USA","Humboldt County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Imperial County, CA, USA","Imperial County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ranch Cucamonga, CA, USA","Ranch Cucamonga","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Long Beach, CA, USA","Long Beach","CA",462197,52945,229779,62231,3459,2440,5966,2775,3355,2655,3443,4052,29227,7163,25364,9755,26689,8674,3007,2047
"33","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Merced, CA, USA","Merced","CA",78111,37025,43792,5273,1049,518,1148,584,540,419,695,860,4451,1279,3680,1731,2062,752,299,127
"36","Modesto, CA, USA","Modesto","CA",201886,49852,150589,7928,1386,1039,1942,1742,1351,1094,2510,1978,15950,4254,10321,3647,6914,2785,1257,300
"37","Monterey, CA, USA","Monterey","CA",27861,62720,21277,715,85,19,34,113,71,97,109,281,1079,503,1545,722,2646,1557,221,415
"38","Sebastopol, CA, USA","Sebastopol","CA",7359,60000,6533,54,15,2,37,0,4,48,34,46,436,189,497,214,525,135,160,43
"39","Orange County, CA, USA","Orange County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oakland, CA, USA","Oakland","CA",389397,51144,151984,109252,3608,2513,6326,3018,3487,2470,2643,3167,24599,4476,19458,6435,26261,11483,4061,3344
"41","Palm Springs, CA, USA","Palm Springs","CA",45045,45989,36950,2042,167,198,588,147,268,122,463,320,4044,1490,3741,1412,4670,1945,941,530
"42","Palmdale, CA, USA","Palmdale","CA",149001,55213,63505,21403,792,869,2272,893,826,1063,1931,1481,10107,2773,7072,2531,4093,1437,280,140
"43","Redding, CA, USA","Redding","CA",89674,43157,78520,1002,236,86,172,209,266,731,591,497,6948,2410,5508,2905,4186,1465,856,294
