index,region,a,b,c,d,lat,lon,loc
1,alabama,\N,\N,\N,\N,-86.9023,32.3182,Alabama
2,auburn,\N,\N,\N,\N,-85.4808,32.6099,"Auburn, AL"
3,birmingham,\N,\N,\N,\N,-86.8025,33.5207,"Birmingham, AL"
4,dothan,\N,\N,\N,\N,-85.3905,31.2232,"Dothan, AL"
5,gadsden,\N,\N,\N,\N,-86.0066,34.0143,"Gadsden, AL"
6,huntsville,\N,\N,\N,\N,-86.5861,34.7304,"Huntsville, AL"
7,mobile,\N,\N,\N,\N,-88.0431,30.6944,"Mobile, AL"
8,montgomery,\N,\N,\N,\N,-86.3,32.3668,"Montgomery, AL"
9,shoals,\N,\N,\N,\N,-87.6675,34.7448,"Muscle Shoals, AL"
10,tuscaloosa,\N,\N,\N,\N,-87.5692,33.2098,"Tuscaloosa, AL"
11,anchorage,\N,\N,\N,\N,-149.494,64.2008,Alaska
12,arizona,\N,\N,\N,\N,-111.094,34.0489,Arizona
13,flagstaff,\N,\N,\N,\N,-111.76100000000001,34.8697,"Sedona, AZ"
14,mohave,\N,\N,\N,\N,-113.76299999999999,35.2143,"Mohave, AZ"
15,phoenix,\N,\N,\N,\N,-112.074,33.4484,"Phoenix, AZ"
16,prescott,\N,\N,\N,\N,-112.469,34.54,"Prescott, AZ"
17,showlow,\N,\N,\N,\N,-110.03,34.2542,"Show Low, AZ"
18,sierravista,\N,\N,\N,\N,-110.277,31.5455,"Sierra Vista, AZ"
19,tucson,\N,\N,\N,\N,-110.926,32.2217,"Tucson, AZ"
20,yuma,\N,\N,\N,\N,-114.62799999999999,32.6926,"Yuma, AZ"
21,arkansas,\N,\N,\N,\N,-91.8318,35.201,Arkansas
22,fayetteville,\N,\N,\N,\N,-94.1574,36.0626,"Fayetteville, AR"
23,fortsmith,\N,\N,\N,\N,-94.3985,35.3859,"Fort Smith, AR"
24,jonesboro,\N,\N,\N,\N,-90.7043,35.8423,"Jonesboro, AR"
25,littlerock,\N,\N,\N,\N,-92.2896,34.7465,"Little Rock, AR"
26,bakersfield,\N,\N,\N,\N,-119.01899999999999,35.3733,"Bakersfield, CA"
27,chico,\N,\N,\N,\N,-121.837,39.7285,"Chico, CA"
28,fresno,\N,\N,\N,\N,-119.773,36.7468,"Fresno, CA"
29,humboldt,\N,\N,\N,\N,-123.87,40.745,"Humboldt County, CA"
30,imperial,\N,\N,\N,\N,-115.473,33.0114,"Imperial County, CA"
31,inlandempire,\N,\N,\N,\N,-117.57,34.1,"Ranch Cucamonga, CA"
32,longbeach,\N,\N,\N,\N,-118.196,33.7683,"Long Beach, CA"
33,losangeles,\N,\N,\N,\N,-118.244,34.0522,"Los Angeles, CA"
34,mendocino,\N,\N,\N,\N,-123.79899999999999,39.3077,"Mendocino, CA"
35,merced,\N,\N,\N,\N,-120.48299999999999,37.3022,"Merced, CA"
36,modesto,\N,\N,\N,\N,-120.99700000000001,37.6391,"Modesto, CA"
37,monterey,\N,\N,\N,\N,-121.895,36.6002,"Monterey, CA"
38,northbay,\N,\N,\N,\N,-122.82,38.4,"Sebastopol, CA"
39,orangecounty,\N,\N,\N,\N,-117.86,33.6805,"Orange County, CA"
40,eastbay,\N,\N,\N,\N,-122.271,37.8044,"Oakland, CA"
41,palmsprings,\N,\N,\N,\N,-116.545,33.8303,"Palm Springs, CA"
42,palmdale,\N,\N,\N,\N,-118.116,34.5794,"Palmdale, CA"
43,redding,\N,\N,\N,\N,-122.39200000000001,40.5865,"Redding, CA"
44,sacramento,\N,\N,\N,\N,-121.494,38.5816,"Sacramento, CA"
45,sandiego,\N,\N,\N,\N,-117.15700000000001,32.7153,"San Diego, CA"
46,sanfernandovalley,\N,\N,\N,\N,-118.44,34.1826,"San Fernando Valley, CA"
47,sf,\N,\N,\N,\N,-122.419,37.7749,"San Francisco, CA"
48,sangabrielvalley,\N,\N,\N,\N,-117.99,34.03,"Avocado Heights, CA"
49,sanjose,\N,\N,\N,\N,-121.895,37.3394,"San Jose, CA"
50,sanluisobispo,\N,\N,\N,\N,-120.66,35.2828,"San Luis Obispo, CA"
51,sanmateo,\N,\N,\N,\N,-122.32600000000001,37.563,"San Mateo, CA"
52,santabarbara,\N,\N,\N,\N,-119.698,34.4208,"Santa Barbara, CA"
53,santacruz,\N,\N,\N,\N,-122.031,36.9741,"Santa Cruz, CA"
54,santamaria,\N,\N,\N,\N,-120.436,34.953,"Santa Maria, CA"
55,siskiyou,\N,\N,\N,\N,-122.57700000000001,41.7743,"Siskiyou County, CA"
56,stockton,\N,\N,\N,\N,-121.291,37.9577,"Stockton, CA"
57,susanville,\N,\N,\N,\N,-120.65299999999999,40.4163,"Susanville, CA"
58,ventura,\N,\N,\N,\N,-119.229,34.2746,"Ventura, CA"
59,visalia,\N,\N,\N,\N,-119.292,36.3302,"Visalia, CA"
60,colorado,\N,\N,\N,\N,-105.78200000000001,39.55,Colorado
61,boulder,\N,\N,\N,\N,-105.271,40.015,"Boulder, CO"
62,coloradosprings,\N,\N,\N,\N,-104.821,38.8339,"Colorado Springs, CO"
63,denver,\N,\N,\N,\N,-104.985,39.7376,"Denver, CO"
64,fortcollins,\N,\N,\N,\N,-105.084,40.5853,"Fort Collins, CO"
65,pueblo,\N,\N,\N,\N,-104.609,38.2544,"Pueblo, CO"
66,rockies,\N,\N,\N,\N,-104.85,39.72," Aurora, CO"
67,westslope,\N,\N,\N,\N,-107.63,37.11,"Ignacio, CO"
68,connecticut,\N,\N,\N,\N,-73.0877,41.6032,Connecticut
69,newlondon,\N,\N,\N,\N,-72.09,41.35,"New London, CT"
70,hartford,\N,\N,\N,\N,-72.6851,41.7637,"Hartford, CT"
71,newhaven,\N,\N,\N,\N,-72.9279,41.3083,"New Haven, CT"
72,nwct,\N,\N,\N,\N,-73.0877,41.6032,Connecticut
73,delaware,\N,\N,\N,\N,-75.5277,38.9108,Delaware
74,washingtondc,\N,\N,\N,\N,-77.0365,38.9072,"Washington, DC"
75,nova,\N,\N,\N,\N,-77.3,38.836,"Northern Virgina, VA"
76,southernmaryland,\N,\N,\N,\N,-76.9557,38.8568,"Washington, MD"
77,dc,\N,\N,\N,\N,-77.0365,38.9072,"Washington, DC"
78,daytona,\N,\N,\N,\N,-81.0108,29.2296,"Daytona Beach, FL"
79,fortmyers,\N,\N,\N,\N,-81.8723,26.6406,"Fort Myers, FL"
80,ftlauderdale,\N,\N,\N,\N,-80.1434,26.1223,"Fort Lauderdale, FL"
81,gainesville,\N,\N,\N,\N,-82.3248,29.6516,"Gainesville, FL"
82,jacksonville,\N,\N,\N,\N,-81.6556,30.3322,"Jacksonville, FL"
83,keys,\N,\N,\N,\N,-80.6147,24.9358,"Flordia Keys,FL"
84,lakeland,\N,\N,\N,\N,-81.9498,28.0395,"Lakeland, FL"
85,miami,\N,\N,\N,\N,-80.2264,25.789,"Miami, FL"
86,ocala,\N,\N,\N,\N,-82.1401,29.1872,"Ocala, FL"
87,orlando,\N,\N,\N,\N,-81.3792,28.5383,"Orlando, FL"
88,panamacity,\N,\N,\N,\N,-85.6602,30.1588,"Panama City, FL"
89,pensacola,\N,\N,\N,\N,-87.2169,30.4213,"Pensacola, FL"
90,sarasota,\N,\N,\N,\N,-82.5307,27.3364,"Sarasota, FL"
91,spacecoast,\N,\N,\N,\N,-80.7995,28.5138,"Titusville, FL"
92,staugustine,\N,\N,\N,\N,-81.3132,29.8943,"St. Augustine, FL"
93,tallahassee,\N,\N,\N,\N,-84.2807,30.4383,"Tallahassee, FL"
94,tampa,\N,\N,\N,\N,-82.4572,27.9506,"Tampa, FL"
95,treasurecoast,\N,\N,\N,\N,-80.5135,27.6364,"Vero Beach, FL"
96,westpalmbeach,\N,\N,\N,\N,-80.0534,26.7153,"West Palm Beach, FL"
97,georgia,\N,\N,\N,\N,-82.9071,32.1574,Georgia
98,albanyga,\N,\N,\N,\N,-84.1557,31.5785,"Albany, GA"
99,athensga,\N,\N,\N,\N,-83.3833,33.95,"Athens, GA"
100,atlanta,\N,\N,\N,\N,-84.38799999999999,33.749,"Atlanta, GA"
101,augusta,\N,\N,\N,\N,-82.0105,33.4735,"Augusta, GA"
102,brunswick,\N,\N,\N,\N,-81.4915,31.15,"Brunswick, GA"
103,columbusga,\N,\N,\N,\N,-84.9877,32.461,"Columbus, GA"
104,macon,\N,\N,\N,\N,-83.6324,32.8407,"Macon, GA"
105,nwga,\N,\N,\N,\N,-82.9071,32.1574,Georgia
106,savannah,\N,\N,\N,\N,-81.0998,32.0835,"Savannah, GA"
107,statesboro,\N,\N,\N,\N,-81.7832,32.4488,"Statesboro, GA"
108,valdosta,\N,\N,\N,\N,-83.2785,30.8327,"Valdosta, GA"
109,hawaii,\N,\N,\N,\N,-155.583,19.8968,Hawaii
110,bigisland,\N,\N,\N,\N,-155.666,19.5429,"Island of Hawaii, Hawaii"
111,honolulu,\N,\N,\N,\N,-157.858,21.3069,"Honolulu, HI"
112,kauai,\N,\N,\N,\N,-159.526,22.0964,"Kauai, Hawaii"
113,maui,\N,\N,\N,\N,-156.332,20.7984,"Maui, Hawaii"
114,idaho,\N,\N,\N,\N,-114.742,44.0682,Idaho
115,boise,\N,\N,\N,\N,-116.215,43.6187,"Boise, ID"
116,eastidaho,\N,\N,\N,\N,-114.742,44.0682,Idaho
117,lewiston,\N,\N,\N,\N,-117.001,46.4004,"Lewiston, ID"
118,twinfalls,\N,\N,\N,\N,-114.461,42.563,"Twin Falls, ID"
119,illinois,\N,\N,\N,\N,-89.3985,40.6331,Illinois
120,bloomington,\N,\N,\N,\N,-88.9937,40.4842,"Bloomington, IL"
121,carbondale,\N,\N,\N,\N,-89.2168,37.7273,"Carbondale, IL"
122,chambana,\N,\N,\N,\N,-88.2434,40.1164,"Champaign, IL"
123,chicago,\N,\N,\N,\N,-87.6298,41.8781,"Chicago, IL"
124,decatur,\N,\N,\N,\N,-88.9548,39.8403,"Decatur, IL"
125,lasalle,\N,\N,\N,\N,-88.9414,41.4364,"LaSalle, IL"
126,mattoon,\N,\N,\N,\N,-88.3728,39.4831,"Mattoon, IL 61938"
127,peoria,\N,\N,\N,\N,-89.589,40.6936,"Peoria, IL"
128,rockford,\N,\N,\N,\N,-89.094,42.2711,"Rockford, IL"
129,springfieldil,\N,\N,\N,\N,-89.6501,39.7817,"Springfield, IL"
130,quincy,\N,\N,\N,\N,-90.3937,41.3805,"Western, IL"
131,indiana,\N,\N,\N,\N,-86.1349,40.2672,Indiana
132,bloomingtonin,\N,\N,\N,\N,-86.5264,39.1653,"Bloomington, IN"
133,evansville,\N,\N,\N,\N,-87.5711,37.9716,"Evansville, IN"
134,fortwayne,\N,\N,\N,\N,-85.1394,41.0793,"Fort Wayne, IN"
135,indianapolis,\N,\N,\N,\N,-86.1581,39.7684,"Indianapolis, IN"
136,kokomo,\N,\N,\N,\N,-86.1336,40.4864,"Kokomo, IN"
137,tippecanoe,\N,\N,\N,\N,-86.8753,40.4167,"Lafayette, IN"
138,muncie,\N,\N,\N,\N,-85.3864,40.1934,"Muncie, IN"
139,richmondin,\N,\N,\N,\N,-84.8902,39.8289,"Richmond, IN"
140,southbend,\N,\N,\N,\N,-86.25200000000001,41.6764,"South Bend, IN"
141,terrehaute,\N,\N,\N,\N,-87.4139,39.4667,"Terre Haute, IN"
142,iowa,\N,\N,\N,\N,-93.0977,41.878,Iowa
143,cedarrapids,\N,\N,\N,\N,-91.6656,41.9779,"Cedar Rapids, IA"
144,desmoines,\N,\N,\N,\N,-93.6091,41.6005,"Des Moines, IA"
145,dubuque,\N,\N,\N,\N,-90.6646,42.5006,"Dubuque, IA"
146,fortdodge,\N,\N,\N,\N,-94.16799999999999,42.4975,"Fort Dodge, IA 50501"
147,iowacity,\N,\N,\N,\N,-91.5302,41.6611,"Iowa City, IA"
148,masoncity,\N,\N,\N,\N,-93.20100000000001,43.1536,"Mason City, IA 50401"
149,ottumwa,\N,\N,\N,\N,-92.4083,41.016000000000005,"Ottumwa, IA 52501"
150,quadcities,\N,\N,\N,\N,-90.5746,41.5214,"Davenport, IA"
151,siouxcity,\N,\N,\N,\N,-96.4003,42.5,"Sioux City, IA"
152,waterloo,\N,\N,\N,\N,-92.34299999999999,42.4928,"Waterloo, IA"
153,kansas,\N,\N,\N,\N,-98.4842,39.0119,Kansas
154,lawrence,\N,\N,\N,\N,-95.2353,38.9717,"Lawrence, KS"
155,manhattanks,\N,\N,\N,\N,-96.5717,39.1836,"Manhattan, KS"
156,topeka,\N,\N,\N,\N,-95.689,39.0558,"Topeka, KS"
157,wichita,\N,\N,\N,\N,-97.3361,37.6889,"Wichita, KS"
158,kentucky,\N,\N,\N,\N,-84.27,37.8393,Kentucky
159,bowlinggreen,\N,\N,\N,\N,-86.4436,36.9903,"Bowling Green, KY"
160,eastky,\N,\N,\N,\N,-82.8067,37.5165,"Eastern, KY"
161,lexington,\N,\N,\N,\N,-84.5037,38.0406,"Lexington, KY"
162,louisville,\N,\N,\N,\N,-85.7585,38.2527,"Louisville, KY"
163,owensboro,\N,\N,\N,\N,-87.1112,37.7719,"Owensboro, KY"
164,westky,\N,\N,\N,\N,-86.45100000000001,36.9876,Bowling Green
165,louisiana,\N,\N,\N,\N,-92.145,31.2448,Louisiana
166,alexandria,\N,\N,\N,\N,-92.4451,31.3113,"Alexandria, LA"
167,batonrouge,\N,\N,\N,\N,-91.1403,30.4583,"Baton Rouge, LA"
168,houma,\N,\N,\N,\N,-90.7195,29.5958,"Houma, LA"
169,lafayette,\N,\N,\N,\N,-92.0198,30.2241,"Lafayette, LA"
170,lakecharles,\N,\N,\N,\N,-93.2174,30.2266,"Lake Charles, LA"
171,monroe,\N,\N,\N,\N,-92.1193,32.5093,"Monroe, LA"
172,neworleans,\N,\N,\N,\N,-90.0715,29.9511,"New Orleans, LA"
173,shreveport,\N,\N,\N,\N,-93.7502,32.5252,"Shreveport, LA"
174,maine,\N,\N,\N,\N,-69.4455,45.2538,Maine
175,maryland,\N,\N,\N,\N,-76.6413,39.0458,Maryland
176,annapolis,\N,\N,\N,\N,-76.4922,38.9784,"Annapolis, MD"
177,baltimore,\N,\N,\N,\N,-76.6122,39.2904,"Baltimore, MD"
