,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","324.2***","311.538***","313.298***","324.38***","503.262**"
"","(78.746)","(83.367)","(87.946)","(95.698)","(184.53)"
"log(population)","-18.317*","-19.405*","-12.376","-0.824","-0.683"
"","(7.089)","(7.505)","(7.917)","(8.615)","(16.611)"
"unemployment","-349.832","-260.834","-336.234","-378.654","-841.008"
"","(196.351)","(207.875)","(219.291)","(238.62)","(460.122)"
"avg_commute","0.039","-0.077","-0.864","-3.164","-7.018"
"","(2.18)","(2.308)","(2.435)","(2.65)","(5.11)"
"female_p50","0.103","5.048","5.424","9.39*","7.897"
"","(3.046)","(3.225)","(3.402)","(3.702)","(7.138)"
"male_p50","4.742","4.615","2.847","-2.707","-0.236"
"","(3.352)","(3.548)","(3.743)","(4.073)","(7.854)"
"female_num_jobs","0.168","1.015","0.803","0.712","1.596"
"","(1.377)","(1.458)","(1.538)","(1.674)","(3.228)"
"male_num_jobs","-0.192","-0.703","-0.506","-0.292","-0.334"
"","(1.463)","(1.549)","(1.634)","(1.778)","(3.429)"
"R2","0.126","0.111","0.081","0.088","0.073"
"N","159","159","159","159","159"
