,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","334.237***","263.156***","298.467***","375.843***","270.661*"
"","(76.471)","(77.322)","(77.555)","(84.436)","(106.791)"
"avg_commute","-5.796**","-3.397","-3.033","-2.463","0.389"
"","(2.138)","(2.162)","(2.168)","(2.361)","(2.985)"
"female_wage_p75","4.347","3.327","-0.475","-2.336","-2.83"
"","(2.739)","(2.77)","(2.778)","(3.025)","(3.825)"
"male_wage_p75","-0.481","-0.149","2.343","3.66","3.247"
"","(2.139)","(2.162)","(2.169)","(2.361)","(2.986)"
"female_epop","177.264","288.538","222.645","231.71","247.797"
"","(212.168)","(214.53)","(215.176)","(234.268)","(296.292)"
"male_epop","-402.4","-395.114","-318.547","-406.006","-197.784"
"","(234.74)","(237.354)","(238.068)","(259.192)","(327.815)"
"R2","0.13","0.081","0.054","0.055","0.031"
"N","99","99","99","99","99"
