,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","796.563***","739.952***","797.692***","891.348***","795.875**"
"","(182.422)","(196.41)","(177.848)","(179.051)","(256.278)"
"log(population)","-49.332***","-48.222***","-47.446***","-47.119***","-59.413**"
"","(12.525)","(13.485)","(12.21)","(12.293)","(17.595)"
"unemployment","-215.702","-304.72","-271.093","-9.815","191.901"
"","(462.096)","(497.53)","(450.509)","(453.558)","(649.183)"
"avg_commute","2.265","4.39","2.807","2.819","7.429"
"","(3.642)","(3.922)","(3.551)","(3.575)","(5.117)"
"female_wage_p25","0.267","3.229","10.173","7.692","0.844"
"","(10.39)","(11.187)","(10.129)","(10.198)","(14.596)"
"female_wage_p50","18.114","11.573","8.447","12.154","1.2"
"","(11.138)","(11.993)","(10.859)","(10.933)","(15.648)"
"female_wage_p75","-5.858","-4.071","-4.532","-6.291","-0.437"
"","(4.787)","(5.154)","(4.667)","(4.699)","(6.725)"
"female_epop","-17.818","80.428","-153.432","-141.714","107.284"
"","(275.198)","(296.3)","(268.297)","(270.113)","(386.616)"
"male_epop","-288.284","-236.837","-19.974","-138.289","224.404"
"","(346.861)","(373.458)","(338.163)","(340.452)","(487.293)"
"relative_sex_crime","-1497.319","-1585.814","-1636.389","-2381.907","-2822.96"
"","(1618.163)","(1742.245)","(1577.588)","(1588.263)","(2273.302)"
"crime_rate","-1042.916*","-1307.742*","-1624.281**","-1681.566***","-1349.005"
"","(493.4)","(531.234)","(481.028)","(484.283)","(693.161)"
"le_per_capita","1614.37","1461.279","1698.799","1912.218","3395.698*"
"","(1163.773)","(1253.011)","(1134.591)","(1142.269)","(1634.945)"
"R2","0.351","0.275","0.334","0.356","0.197"
"N","73","73","73","73","73"
