,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","315.873*","292.709*","278.254","292.597","210.697"
"","(137.887)","(138.433)","(157.035)","(184.877)","(413.181)"
"log(population)","-28.846**","-24.082*","-8.729","11.09","14.799"
"","(9.109)","(9.145)","(10.374)","(12.213)","(27.295)"
"unemployment","-83.59","-21.592","-41.349","-454.809","-2460.288*"
"","(328.017)","(329.317)","(373.568)","(439.802)","(982.912)"
"lt_highschool","-10.792","-105.144","-57.165","-349.196","238.032"
"","(292.762)","(293.923)","(333.418)","(392.533)","(877.27)"
"highschool","186.921","90.876","151.18","-33.791","468.044"
"","(222.445)","(223.327)","(253.336)","(298.252)","(666.563)"
"college_plus","265.457","314.425","287.889","177.548","67.766"
"","(206.756)","(207.575)","(235.468)","(277.216)","(619.55)"
"avg_commute","1.68","2.391","-0.582","-2.482","-6.61"
"","(3.412)","(3.425)","(3.885)","(4.574)","(10.223)"
"male_p25","-14.941","-5.148","-5.315","10.829","-152.146***"
"","(11.051)","(11.095)","(12.585)","(14.817)","(33.114)"
"male_p50","12.556","1.422","10.802","0.408","159.061***"
"","(10.452)","(10.494)","(11.904)","(14.014)","(31.32)"
"male_p75","-1.855","0.503","-6.313","-9.319","-35.869*"
"","(4.903)","(4.922)","(5.584)","(6.574)","(14.692)"
"female_violence_share","44.705","50.355","-59.086","22.326","162.968"
"","(102.754)","(103.161)","(117.023)","(137.772)","(307.905)"
"violence_per_capita","-31.112","-36.984","-63.301","33.659","111.39"
"","(63.417)","(63.669)","(72.224)","(85.029)","(190.032)"
"R2","0.241","0.218","0.155","0.2","0.367"
"N","79","79","79","79","79"
