,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","68.914","157.419*","245.143**","225.023","282.539*"
"","(52.479)","(70.091)","(92.241)","(115.362)","(132.525)"
"log(population)","-10.32**","-12.349*","-6.449","-13.918","4.227"
"","(3.553)","(4.746)","(6.246)","(7.811)","(8.973)"
"unemployment","21.352","-225.214","-378.505","-113.804","-480.311"
"","(152.418)","(203.569)","(267.902)","(335.054)","(384.901)"
"avg_commute","1.573","3.178","2.956","4.289","0.166"
"","(1.239)","(1.655)","(2.178)","(2.724)","(3.129)"
"female_wage_p50","-2.447","-1.79","-1.417","1.742","1.798"
"","(1.855)","(2.478)","(3.261)","(4.078)","(4.685)"
"male_wage_p50","0.838","-0.34","-0.341","-2.553","-0.191"
"","(1.296)","(1.731)","(2.278)","(2.849)","(3.273)"
"female_epop","292.977**","332.057**","498.082**","582.492**","287.687"
"","(87.898)","(117.397)","(154.497)","(193.223)","(221.969)"
"male_epop","-43.185","-158.565","-559.642**","-438.082","-505.286"
"","(107.566)","(143.665)","(189.067)","(236.458)","(271.636)"
"R2","0.217","0.171","0.148","0.13","0.062"
"N","99","99","99","99","99"
