,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","40.916","52.491","117.502*","129.268*","161.976*"
"","(29.671)","(39.604)","(50.677)","(63.853)","(72.273)"
"avg_commute","-1.013","-0.34","0.751","1.117","0.918"
"","(0.829)","(1.107)","(1.417)","(1.785)","(2.02)"
"female_wage_p75","-0.081","-0.684","-0.917","-0.025","-1.541"
"","(1.063)","(1.419)","(1.815)","(2.287)","(2.589)"
"male_wage_p75","-0.387","-0.269","-0.207","-0.711","1.041"
"","(0.83)","(1.108)","(1.417)","(1.786)","(2.021)"
"female_epop","229.438**","273.498*","488.379***","532.667**","394.778"
"","(82.322)","(109.881)","(140.605)","(177.161)","(200.522)"
"male_epop","-87.622","-111.831","-427.736**","-431.996*","-307.665"
"","(91.08)","(121.571)","(155.564)","(196.009)","(221.856)"
"R2","0.144","0.095","0.122","0.09","0.046"
"N","99","99","99","99","99"
