,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","88.293","185.125","364.939**","415.535**","602.363**"
"","(68.385)","(101.692)","(129.836)","(149.046)","(176.231)"
"log(population)","-13.211**","-11.754","-14.081","-18.193","-7.367"
"","(4.695)","(6.982)","(8.914)","(10.233)","(12.1)"
"unemployment","67.595","-213.781","-427.173","-246.439","-824.037"
"","(173.228)","(257.599)","(328.889)","(377.553)","(446.414)"
"avg_commute","1.106","2.482","4.188","5.717","3.026"
"","(1.365)","(2.03)","(2.592)","(2.976)","(3.519)"
"female_wage_p25","2.582","1.478","7.699","3.383","-0.203"
"","(3.895)","(5.792)","(7.395)","(8.489)","(10.037)"
"female_wage_p50","-2.358","-3.515","-1.688","-0.602","3.519"
"","(4.176)","(6.209)","(7.928)","(9.101)","(10.76)"
"female_wage_p75","0.475","0.718","-2.158","-0.975","-1.501"
"","(1.795)","(2.669)","(3.407)","(3.911)","(4.625)"
"female_epop","327.912**","281.563","325.461","444.634","98.282"
"","(103.164)","(153.411)","(195.867)","(224.848)","(265.859)"
"male_epop","-47.406","-184.992","-571.38*","-683.848*","-711.276*"
"","(130.029)","(193.36)","(246.872)","(283.4)","(335.09)"
"relative_sex_crime","-1329.389*","0.967","-294.213","-576.229","823.802"
"","(606.606)","(902.056)","(1151.699)","(1322.109)","(1563.249)"
"crime_rate","153.503","144.458","119.9","130.821","-519.511"
"","(184.962)","(275.049)","(351.169)","(403.129)","(476.656)"
"le_per_capita","-216.634","122.424","426.682","111.632","165.017"
"","(436.267)","(648.753)","(828.295)","(950.852)","(1124.279)"
"R2","0.405","0.159","0.202","0.194","0.127"
"N","73","73","73","73","73"
