,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","505.503***","419.48***","387.555***","476.406***","550.927***"
"","(3.469)","(3.677)","(3.573)","(3.777)","(4.713)"
"log(population)","-34.066***","-29.67***","-23.27***","-25.673***","-23.589***"
"","(0.326)","(0.346)","(0.336)","(0.355)","(0.443)"
"unemployment","-140.477***","-69.177***","-29.445***","-101.307***","-287.582***"
"","(8.099)","(8.584)","(8.343)","(8.817)","(11.003)"
"avg_commute","-0.467***","0.02","0.226**","1.368***","1.926***"
"","(0.081)","(0.086)","(0.083)","(0.088)","(0.11)"
"female_wage_p25","1.627***","-4.219***","-5.779***","-2.075***","-2.337***"
"","(0.193)","(0.205)","(0.199)","(0.21)","(0.262)"
"male_wage_p25","6.79***","14.405***","14.424***","9.656***","6.396***"
"","(0.15)","(0.159)","(0.155)","(0.163)","(0.204)"
"female_num_jobs","0.765***","0.569***","-0.74***","-0.917***","0.39***"
"","(0.023)","(0.025)","(0.024)","(0.025)","(0.032)"
"male_num_jobs","0.131***","0.241***","1.248***","1.382***","0.575***"
"","(0.026)","(0.027)","(0.026)","(0.028)","(0.035)"
"R2","0.333","0.328","0.259","0.182","0.171"
"N","80133","80133","80133","80133","80133"
