,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","88.155***","93.095***","265.084***","363.203***","241.26***"
"","(3.154)","(3.341)","(3.162)","(3.253)","(4.309)"
"avg_commute","-2.326***","-3.203***","-6.075***","-6.065***","-1.61***"
"","(0.082)","(0.087)","(0.083)","(0.085)","(0.112)"
"female_wage_p50","2.708***","-0.441*","-4.174***","0.944***","0.183"
"","(0.2)","(0.212)","(0.2)","(0.206)","(0.273)"
"male_wage_p50","2.879***","6.023***","10.016***","6.057***","3.344***"
"","(0.133)","(0.141)","(0.133)","(0.137)","(0.182)"
"female_epop","-0.215","-58.709***","-322.859***","-231.303***","89.144***"
"","(9.597)","(10.166)","(9.619)","(9.897)","(13.112)"
"male_epop","2.972","162.151***","239.777***","69.476***","16.707"
"","(9.803)","(10.384)","(9.825)","(10.108)","(13.393)"
"rape_per_capita","11155.002***","23152.202***","6663.603***","-70661.169***","-70640.842***"
"","(1771.294)","(1876.292)","(1775.369)","(1826.533)","(2419.978)"
"property_crime_per_capita","-220.103***","-999.732***","-894.205***","-61.536**","582.245***"
"","(22.003)","(23.307)","(22.053)","(22.689)","(30.061)"
"le_per_capita","-1198.671***","-792.062***","512.91***","215.267***","662.991***"
"","(26.835)","(28.426)","(26.897)","(27.672)","(36.663)"
"R2","0.203","0.272","0.247","0.183","0.067"
"N","70979","70979","70979","70979","70979"
