,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","229.104***","265.908***","421.78***","562.047***","441.958***"
"","(4.354)","(4.611)","(4.433)","(4.458)","(5.885)"
"log(population)","-16.27***","-20.048***","-14.04***","-18.041***","-17.41***"
"","(0.383)","(0.405)","(0.39)","(0.392)","(0.517)"
"avg_commute","-0.12","-0.584***","-4.984***","-4.179***","0.018"
"","(0.1)","(0.106)","(0.102)","(0.102)","(0.135)"
"female_wage_p25","-1.487***","0.007","10.614***","8.768***","3.383***"
"","(0.325)","(0.344)","(0.33)","(0.332)","(0.439)"
"female_wage_p50","7.214***","3.705***","14.817***","21.361***","19.864***"
"","(0.315)","(0.333)","(0.32)","(0.322)","(0.425)"
"female_wage_p75","0.084","2.015***","-6.492***","-9.42***","-9.149***"
"","(0.169)","(0.179)","(0.172)","(0.173)","(0.228)"
"female_epop","20.256","-54.449***","-691.617***","-578.326***","-116.017***"
"","(10.725)","(11.358)","(10.92)","(10.982)","(14.496)"
"male_epop","24.238*","215.803***","448.607***","261.735***","118.516***"
"","(9.953)","(10.541)","(10.134)","(10.192)","(13.453)"
"relative_sex_crime","827.761***","1799.404***","932.284***","-1540.237***","-2787.627***"
"","(51.466)","(54.504)","(52.402)","(52.699)","(69.562)"
"crime_rate","-271.153***","-948.307***","-1305.786***","-1295.855***","-668.17***"
"","(18.015)","(19.078)","(18.342)","(18.447)","(24.349)"
"le_per_capita","-833.806***","-448.604***","586.164***","577.126***","1160.753***"
"","(28.521)","(30.204)","(29.039)","(29.204)","(38.549)"
"R2","0.219","0.286","0.238","0.21","0.105"
"N","70979","70979","70979","70979","70979"
