,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","4.156***","4.164***","3.913***","3.743***","-1.268","-1.17","-1.139"
"","(0.607)","(0.607)","(0.658)","(0.658)","(2.354)","(2.285)","(2.269)"
"lavg_commute","0.197","0.193","0.241","0.079","0.093","",""
"","(0.171)","(0.17)","(0.174)","(0.242)","(0.236)","",""
"lrape_per_capita","-0.018","-0.009","0.001","0.001","0.006","","0.001"
"","(0.054)","(0.056)","(0.053)","(0.053)","(0.05)","","(0.049)"
"lproperty_crime_per_capita","0.054","0.047","0.038","0.027","0.023","","0.022"
"","(0.048)","(0.048)","(0.046)","(0.048)","(0.044)","","(0.044)"
"lle_per_capita","0.013","0.011","0.01","0.008","0.015","","0.019"
"","(0.023)","(0.021)","(0.022)","(0.021)","(0.02)","","(0.021)"
"unemployment","","0.513","","","","",""
"","","(1.147)","","","","",""
"lmale_epop","","","-0.273","","","",""
"","","","(0.287)","","","",""
"lfemale_wage_p50","","","","0.18","1.925*","1.874*","1.965*"
"","","","","(0.202)","(0.805)","(0.798)","(0.803)"
"lfemale_epop","","","","-0.374","-6.86*","-6.374*","-6.86*"
"","","","","(0.278)","(3.01)","(2.906)","(2.985)"
"lfemale_wage_p50:lfemale_epop","","","","","2.254*","2.03*","2.238*"
"","","","","","(1.067)","(1.03)","(1.053)"
"R2","0.006","0.006","0.007","0.008","0.01","0.009","0.01"
"N","184497","184497","184497","184497","184497","184497","184497"
