,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","3.814***","3.756***","4.798***","3.118***","-1.471","-1.737","-1.906"
"","(0.808)","(0.741)","(0.771)","(0.732)","(2.789)","(2.777)","(2.756)"
"lavg_commute","0.048","0.083","-0.129","-0.298","-0.303","",""
"","(0.246)","(0.238)","(0.232)","(0.346)","(0.338)","",""
"lrape_per_capita","0.037","-0.035","-0.039","-0.062","-0.064","","-0.044"
"","(0.058)","(0.048)","(0.049)","(0.051)","(0.048)","","(0.044)"
"lproperty_crime_per_capita","-0.044","0.009","0.018","0.031","0.033","","0.034"
"","(0.054)","(0.039)","(0.039)","(0.035)","(0.033)","","(0.034)"
"lle_per_capita","-0.007","0.007","0.003","-0.003","0.005","","-0.013"
"","(0.029)","(0.021)","(0.022)","(0.021)","(0.022)","","(0.024)"
"unemployment","","-3.988***","","","","",""
"","","(0.859)","","","","",""
"lmale_epop","","","1.104***","","","",""
"","","","(0.265)","","","",""
"lfemale_wage_p25","","","","0.58*","2.447*","2.347*","2.29*"
"","","","","(0.258)","(1.058)","(1.114)","(1.113)"
"lfemale_epop","","","","0.197","-5.761","-5.948","-5.595"
"","","","","(0.319)","(3.496)","(3.519)","(3.584)"
"lfemale_wage_p25:lfemale_epop","","","","","2.409","2.523","2.385"
"","","","","","(1.449)","(1.432)","(1.47)"
"R2","0.001","0.017","0.015","0.015","0.017","0.015","0.016"
"N","184497","184497","184497","184497","184497","184497","184497"
