,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","17.474***","68.263***","220.183***","334.989***","342.888***"
"","(1.057)","(1.628)","(2.292)","(2.602)","(2.757)"
"avg_commute","-1.371***","-0.053","1.644***","-0.738***","-0.946***"
"","(0.028)","(0.043)","(0.06)","(0.068)","(0.072)"
"female_wage_p75","-1.619***","-1.491***","-2.47***","-0.249**","-1.148***"
"","(0.035)","(0.055)","(0.077)","(0.087)","(0.093)"
"male_wage_p75","1.664***","1.153***","1.723***","2.246***","3.171***"
"","(0.026)","(0.04)","(0.056)","(0.064)","(0.068)"
"female_epop","220.159***","-129.376***","-19.362**","134.43***","211.705***"
"","(3.24)","(4.991)","(7.027)","(7.979)","(8.454)"
"male_epop","-85.983***","117.066***","-337.461***","-640.134***","-618.615***"
"","(3.565)","(5.493)","(7.734)","(8.781)","(9.305)"
"rape_per_capita","-44943.512***","40823.331***","74536.414***","50974.401***","44164.066***"
"","(632.223)","(974.019)","(1371.44)","(1557.108)","(1649.904)"
"property_crime_per_capita","670.917***","-81.373***","145.285***","268.737***","-59.611**"
"","(7.761)","(11.957)","(16.836)","(19.115)","(20.254)"
"le_per_capita","-524.437***","-750.184***","-424.083***","-320.699***","377.258***"
"","(9.521)","(14.668)","(20.653)","(23.449)","(24.847)"
"R2","0.458","0.134","0.179","0.164","0.122"
"N","70979","70979","70979","70979","70979"
