,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","10.592***","178.227***","450.034***","528.246***","534.049***"
"","(1.821)","(2.651)","(3.655)","(4.151)","(4.305)"
"log(population)","-4.563***","-6.438***","-4.643***","-16.603***","-1.613***"
"","(0.119)","(0.174)","(0.24)","(0.272)","(0.282)"
"unemployment","179.024***","-189.486***","-600.784***","-340.926***","-722.813***"
"","(4.731)","(6.887)","(9.494)","(10.784)","(11.184)"
"avg_commute","-1.467***","0.372***","1.635***","2.092***","0.662***"
"","(0.034)","(0.05)","(0.069)","(0.078)","(0.081)"
"female_wage_p75","-2.005***","-1.773***","-1.953***","-0.715***","-0.265**"
"","(0.035)","(0.051)","(0.071)","(0.08)","(0.083)"
"male_wage_p75","1.926***","1.302***","1.424***","2.451***","2.507***"
"","(0.026)","(0.038)","(0.053)","(0.06)","(0.062)"
"female_epop","145.86***","-55.008***","-70.542***","85.273***","79.548***"
"","(2.843)","(4.138)","(5.704)","(6.479)","(6.72)"
"male_epop","95.5***","35.033***","-474.105***","-567.522***","-765.662***"
"","(3.805)","(5.539)","(7.635)","(8.672)","(8.994)"
"R2","0.347","0.096","0.137","0.139","0.13"
"N","80133","80133","80133","80133","80133"
