,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","219.901***","198.264***","100.266***","92.006***","91.875***","220.365***","230.393***"
"","(1.991)","(1.935)","(1.546)","(1.531)","(1.584)","(1.992)","(2.451)"
"avg_commute","1.241***","0.57***","1.349***","1.866***","1.869***","1.185***","0.933***"
"","(0.05)","(0.05)","(0.057)","(0.06)","(0.061)","(0.051)","(0.064)"
"male_epop","-340.083***","","","","","-301.203***","-298.934***"
"","(3.503)","","","","","(7.519)","(7.618)"
"rape_per_capita","68065.57***","78413.28***","53457.757***","59591.535***","59637.692***","70393.439***","69635.842***"
"","(1315.528)","(1374.843)","(1359.234)","(1373.543)","(1380.967)","(1374.226)","(1376.499)"
"property_crime_per_capita","195.063***","-98.931***","219.824***","227.873***","228.1***","151.209***","124.169***"
"","(15.049)","(15.786)","(15.667)","(15.598)","(15.614)","(16.813)","(17.099)"
"le_per_capita","-486.311***","-537.82***","-221.746***","-216.55***","-215.96***","-507.619***","-536.44***"
"","(20.324)","(20.862)","(20.878)","(20.723)","(20.803)","(20.644)","(20.854)"
"female_epop","","-286.829***","","","","-40.59***","-60.422***"
"","","(3.271)","","","","(6.946)","(7.458)"
"male_wage_p50","","","-2.197***","","0.034","","-0.928***"
"","","","(0.038)","","(0.105)","","(0.103)"
"female_wage_p50","","","","-3.174***","-3.216***","","1.459***"
"","","","","(0.051)","(0.141)","","(0.155)"
"R2","0.166","0.148","0.097","0.104","0.104","0.166","0.168"
"N","70979","70979","70979","70979","70979","70979","70979"
