,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","99.827","156.034*","35.317","102.632","192.754","99.827","151.505"
"","(71.603)","(67.118)","(108.027)","(65.686)","(117.826)","(71.603)","(88.866)"
"avg_commute","2.583","2.046","1.68","-1.524","-1.722","2.583",""
"","(2.311)","(2.218)","(2.154)","(2.619)","(2.533)","(2.311)",""
"rape_per_capita","4826.905","-19274.81","-14359.667","-36442.623","-24451.98","4826.905","-14434.11"
"","(41647.489)","(45276.985)","(48421.622)","(40686.569)","(44422.919)","(41647.489)","(46192.061)"
"property_crime_per_capita","1886.37**","1886.217**","1948.641**","1881.548**","1793.81**","1886.37**","1919.733**"
"","(703.775)","(703.65)","(720.506)","(634.909)","(636.039)","(703.775)","(610.462)"
"le_per_capita","-61.582","326.864","220.575","278.145","7.808","-61.582","-384.219"
"","(1118.223)","(1234.856)","(1109.51)","(1076.6)","(910.956)","(1118.223)","(732.497)"
"unemployment","","-386.58","","","","",""
"","","(292.087)","","","","",""
"male_epop","","","179.09","","-247.453","","-238.823"
"","","","(162.321)","","(229.945)","","(225.112)"
"female_wage_p50","","","","6.099*","8.244*","","7.498**"
"","","","","(2.606)","(3.318)","","(2.673)"
"R2","0.051","0.056","0.054","0.078","0.082","0.051","0.08"
"N","49636","49636","49636","49636","49636","49636","49636"
