,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","21.127***","-7.36***","106.451***","185.737***","203.397***"
"","(1.314)","(1.266)","(2.266)","(2.75)","(2.555)"
"log(population)","-1.13***","-1.279***","-4.01***","-7.18***","-5.838***"
"","(0.08)","(0.077)","(0.139)","(0.168)","(0.156)"
"unemployment","-93.321***","114.734***","-104.817***","-261.149***","-332.471***"
"","(2.905)","(2.799)","(5.012)","(6.081)","(5.65)"
"avg_commute","-0.155***","-1.757***","-2.42***","-1.691***","0.755***"
"","(0.022)","(0.021)","(0.038)","(0.046)","(0.043)"
"female_wage_p25","2.013***","6.006***","9.13***","7.374***","-0.459***"
"","(0.05)","(0.048)","(0.086)","(0.104)","(0.097)"
"male_wage_p25","1.075***","-0.661***","1.188***","3.395***","5.56***"
"","(0.038)","(0.036)","(0.065)","(0.079)","(0.073)"
"female_epop","-95.694***","-127.369***","-333.784***","-454.025***","-295.243***"
"","(2.061)","(1.986)","(3.556)","(4.314)","(4.009)"
"male_epop","52.726***","188.233***","207.211***","249.763***","58.799***"
"","(2.326)","(2.241)","(4.013)","(4.868)","(4.524)"
"relative_sex_crime","-66.368***","-1380.484***","-1786.735***","-1706.325***","893.136***"
"","(10.275)","(9.903)","(17.728)","(21.509)","(19.987)"
"crime_rate","-262.371***","-233.053***","-177.801***","-75.077***","-127.223***"
"","(3.798)","(3.66)","(6.552)","(7.95)","(7.388)"
"le_per_capita","-230.982***","99.489***","0.245","113.935***","302.437***"
"","(6.1)","(5.879)","(10.524)","(12.769)","(11.865)"
"R2","0.356","0.502","0.505","0.486","0.293"
"N","70979","70979","70979","70979","70979"
