,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-21.087***","15.197***","32.075***","22.09***","54.48***"
"","(0.682)","(0.694)","(1.208)","(1.505)","(1.349)"
"avg_commute","-0.392***","-1.521***","-2.726***","-2.417***","-0.885***"
"","(0.018)","(0.018)","(0.032)","(0.039)","(0.035)"
"female_wage_p50","0.534***","1.425***","1.686***","0.103","-1***"
"","(0.043)","(0.044)","(0.076)","(0.095)","(0.085)"
"male_wage_p50","0.768***","1.32***","3.28***","4.277***","3.273***"
"","(0.029)","(0.029)","(0.051)","(0.063)","(0.057)"
"female_epop","-32.042***","-126.851***","-260.892***","-338.196***","-166.642***"
"","(2.076)","(2.113)","(3.674)","(4.578)","(4.106)"
"male_epop","66.579***","99.954***","174.994***","294.44***","154.942***"
"","(2.12)","(2.158)","(3.753)","(4.676)","(4.194)"
"rape_per_capita","-10147.332***","-30445.918***","-35229.735***","-28272.411***","17297.182***"
"","(383.124)","(389.956)","(678.126)","(844.927)","(757.767)"
"property_crime_per_capita","-123.349***","168.575***","406.662***","521.45***","-222.186***"
"","(4.759)","(4.844)","(8.424)","(10.496)","(9.413)"
"le_per_capita","-249.703***","60.763***","-113.519***","-102.449***","150.782***"
"","(5.804)","(5.908)","(10.274)","(12.801)","(11.48)"
"R2","0.307","0.402","0.439","0.385","0.212"
"N","70979","70979","70979","70979","70979"
