,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","13.241***","32.06***","175.296***","246.138***","162.196***"
"","(1.065)","(1.013)","(1.607)","(2.155)","(2.104)"
"log(population)","-3.613***","-4.226***","-9.533***","-12.044***","-3.847***"
"","(0.07)","(0.066)","(0.105)","(0.141)","(0.138)"
"unemployment","-45.995***","67.756***","-140.987***","-300.3***","-251.396***"
"","(2.767)","(2.632)","(4.174)","(5.599)","(5.465)"
"avg_commute","0.61***","-0.531***","-0.826***","-0.031","0.671***"
"","(0.02)","(0.019)","(0.03)","(0.04)","(0.039)"
"female_wage_p75","-0.283***","0.442***","-0.725***","-0.743***","-0.422***"
"","(0.021)","(0.02)","(0.031)","(0.042)","(0.041)"
"male_wage_p75","0.768***","1.103***","3.321***","3.18***","1.588***"
"","(0.015)","(0.015)","(0.023)","(0.031)","(0.03)"
"female_epop","41.51***","-96.278***","-243.735***","-322.733***","-92.323***"
"","(1.663)","(1.581)","(2.508)","(3.364)","(3.284)"
"male_epop","-10.167***","92.882***","76.074***","119.69***","-31.772***"
"","(2.225)","(2.116)","(3.356)","(4.503)","(4.395)"
"R2","0.221","0.417","0.531","0.414","0.177"
"N","80133","80133","80133","80133","80133"
