,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","12.912","47.509*","-44.745","14.439","22.172","12.912","-6.387"
"","(22.518)","(19.502)","(41.217)","(18.046)","(41.031)","(22.518)","(33.903)"
"avg_commute","1.06","0.73","0.254","-1.175","-1.192","1.06",""
"","(0.748)","(0.709)","(0.605)","(0.609)","(0.621)","(0.748)",""
"rape_per_capita","-13356.49","-28191.566","-30504.803","-35823.294","-34794.43","-13356.49","-27858.44"
"","(18948.539)","(22340.83)","(23133.584)","(19363.566)","(19589.867)","(18948.539)","(19684.661)"
"property_crime_per_capita","684.483*","684.389*","740.138**","681.858**","674.329**","684.483*","761.513***"
"","(275.744)","(275.363)","(279.353)","(224.31)","(226.246)","(275.744)","(217.256)"
"le_per_capita","-63.194","175.902","188.988","121.751","98.554","-63.194","-172.87"
"","(401.242)","(419.126)","(373.183)","(278.26)","(263.804)","(401.242)","(205.15)"
"unemployment","","-237.948*","","","","",""
"","","(104.849)","","","","",""
"male_epop","","","160.065*","","-21.233","","-15.257"
"","","","(72.021)","","(81.192)","","(80.641)"
"female_wage_p50","","","","3.32***","3.504***","","2.987***"
"","","","","(0.604)","(0.728)","","(0.686)"
"R2","0.038","0.056","0.063","0.102","0.102","0.038","0.098"
"N","49636","49636","49636","49636","49636","49636","49636"
