,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","4.246***","19.504***","-35.266***","-24.154***","-40.574***","17.895***","-41.158***"
"","(0.094)","(0.875)","(1.441)","(1.505)","(1.512)","(0.916)","(1.489)"
"relative_sex_crime","601.901***","","","-139.429***","22.379*","",""
"","(9.419)","","","(10.333)","(10.172)","",""
"log(population)","","-3.774***","-3.941***","-3.671***","-3.696***","-3.376***","-3.671***"
"","","(0.064)","(0.069)","(0.076)","(0.077)","(0.072)","(0.076)"
"unemployment","","-31.543***","-36.409***","-89.617***","-37.322***","-18.09***","-37.19***"
"","","(2.344)","(2.488)","(2.697)","(2.598)","(2.43)","(2.598)"
"lt_highschool","","-46.051***","-36.708***","-65.173***","-56.051***","-62.19***","-56.488***"
"","","(1.569)","(1.569)","(1.602)","(1.631)","(1.648)","(1.618)"
"highschool","","32.183***","39.066***","5.036***","40.979***","29.575***","41.583***"
"","","(1.184)","(1.173)","(1.419)","(1.304)","(1.316)","(1.275)"
"college_plus","","38.029***","20.891***","-20.165***","14.687***","37.236***","14.701***"
"","","(1.04)","(1.321)","(1.475)","(1.376)","(1.077)","(1.376)"
"avg_commute","","1.062***","0.933***","0.61***","0.993***","0.983***","0.983***"
"","","(0.019)","(0.021)","(0.022)","(0.022)","(0.02)","(0.021)"
"log(female_wage_p50)","","","-7.633***","1.164","-15.488***","","-15.232***"
"","","","(0.83)","(0.946)","(0.922)","","(0.914)"
"log(male_wage_p50)","","","27.326***","29.848***","35.985***","","35.931***"
"","","","(0.661)","(0.7)","(0.707)","","(0.707)"
"crime_rate","","","","-222.004***","","",""
"","","","","(3.858)","","",""
"R2","0.051","0.201","0.245","0.326","0.294","0.238","0.294"
"N","75710","84020","80133","70979","70979","73960","70979"
