,"(1)","(2)","(3)","(4)","(5)","(6)","(7)"
,"model1","model2","model3","model4","model5","model6","model7"
"(Intercept)","-56.02***","-33.637***","-0.692","13.868***","-1.77*","-54.84***","32.075***"
"","(1.203)","(1.185)","(0.758)","(0.785)","(0.779)","(1.199)","(1.208)"
"avg_commute","-0.091**","0.356***","-1.921***","-2.295***","-1.854***","-0.234***","-2.726***"
"","(0.03)","(0.03)","(0.028)","(0.031)","(0.03)","(0.031)","(0.032)"
"male_epop","190.116***","","","","","288.969***","174.994***"
"","(2.117)","","","","","(4.525)","(3.753)"
"rape_per_capita","-36958.69***","-38734.052***","-48521.82***","-53241.138***","-47727.419***","-31039.953***","-35229.735***"
"","(794.971)","(841.449)","(666.496)","(704.48)","(679.472)","(827.099)","(678.126)"
"property_crime_per_capita","639.887***","768.366***","692.757***","666.635***","693.82***","528.387***","406.662***"
"","(9.094)","(9.662)","(7.682)","(8)","(7.682)","(10.119)","(8.424)"
"le_per_capita","-80.188***","-105.389***","60.631***","-9.1","61.375***","-134.363***","-113.519***"
"","(12.282)","(12.768)","(10.237)","(10.628)","(10.236)","(12.425)","(10.274)"
"female_epop","","133.037***","","","","-103.201***","-260.892***"
"","","(2.002)","","","","(4.181)","(3.674)"
"male_wage_p50","","","3.754***","","4.041***","","3.28***"
"","","","(0.019)","","(0.052)","","(0.051)"
"female_wage_p50","","","","4.639***","-0.413***","","1.686***"
"","","","","(0.026)","(0.069)","","(0.076)"
"R2","0.154","0.113","0.397","0.345","0.397","0.161","0.439"
"N","70979","70979","70979","70979","70979","70979","70979"
