,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","11","23.427","43.95","72.175","94.125"
"","(37.565)","(24.114)","(36.74)","(46.06)","(53.287)"
"avg_commute","-0.967","-1.959**","-1.934","-2.003","-2.022"
"","(1.015)","(0.652)","(0.993)","(1.245)","(1.44)"
"female_wage_p50","-1.306","1.281","1.341","2.605","7.946**"
"","(1.992)","(1.279)","(1.948)","(2.443)","(2.826)"
"male_wage_p50","2.232","1.018","1.251","0.219","-4.031*"
"","(1.422)","(0.913)","(1.39)","(1.743)","(2.016)"
"female_epop","-87.724","-71.494","-82.85","-1.725","-5.746"
"","(91.648)","(58.831)","(89.635)","(112.373)","(130.004)"
"male_epop","95.327","102.67","92.397","13.559","21.629"
"","(103.221)","(66.259)","(100.953)","(126.563)","(146.42)"
"relative_sex_crime","-432.544","-924.695*","-1092.948","-1186.853","-397.532"
"","(584.605)","(375.269)","(571.762)","(716.805)","(829.268)"
"crime_rate","-439.189*","-180.357","-36.102","89.051","-80.527"
"","(175.03)","(112.355)","(171.185)","(214.611)","(248.282)"
"le_per_capita","29.443","18.183","-177.389","-114.652","-194.927"
"","(401.966)","(258.029)","(393.135)","(492.864)","(570.192)"
"R2","0.156","0.258","0.149","0.107","0.134"
"N","73","73","73","73","73"
