,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-3.266","15.416","30.959","38.675","31.355"
"","(24.888)","(17.067)","(26.376)","(32.756)","(38.983)"
"avg_commute","-0.487","-1.105*","-1.347","-0.702","-0.177"
"","(0.696)","(0.477)","(0.737)","(0.916)","(1.09)"
"female_wage_p75","0.459","0.921","0.514","0.675","2.069"
"","(0.891)","(0.611)","(0.945)","(1.173)","(1.396)"
"male_wage_p75","0.265","0.376","0.761","0.176","-0.755"
"","(0.696)","(0.477)","(0.738)","(0.916)","(1.09)"
"female_epop","-76.467","-45.194","-62.184","89.377","172.501"
"","(69.051)","(47.351)","(73.18)","(90.882)","(108.157)"
"male_epop","71.507","38.778","67.349","-32.71","-77.714"
"","(76.398)","(52.389)","(80.966)","(100.551)","(119.664)"
"R2","0.036","0.148","0.084","0.05","0.093"
"N","99","99","99","99","99"
