1,"alabama",\N,\N,\N,\N,-86.9023,32.3182,"Alabama, USA"
2,"auburn",\N,\N,\N,\N,-85.4808,32.6099,"Auburn, AL, USA"
3,"birmingham",\N,\N,\N,\N,-86.8025,33.5207,"Birmingham, AL, USA"
4,"dothan",\N,\N,\N,\N,-85.3905,31.2232,"Dothan, AL, USA"
5,"gadsden",\N,\N,\N,\N,-86.0066,34.0143,"Gadsden, AL, USA"
6,"huntsville",\N,\N,\N,\N,-86.5861,34.7304,"Huntsville, AL, USA"
7,"mobile",\N,\N,\N,\N,-88.0431,30.6944,"Mobile, AL, USA"
8,"montgomery",\N,\N,\N,\N,-86.3,32.3668,"Montgomery, AL, USA"
9,"shoals",\N,\N,\N,\N,-87.6675,34.7448,"Muscle Shoals, AL, USA"
10,"tuscaloosa",\N,\N,\N,\N,-87.5692,33.2098,"Tuscaloosa, AL, USA"
11,"anchorage",\N,\N,\N,\N,-149.494,64.2008,"Alaska, USA"
12,"arizona",\N,\N,\N,\N,-111.094,34.0489,"Arizona, USA"
13,"flagstaff",\N,\N,\N,\N,-111.761,34.8697,"Sedona, AZ, USA"
14,"mohave",\N,\N,\N,\N,-113.763,35.2143,"Mohave, AZ, USA"
15,"phoenix",\N,\N,\N,\N,-112.074,33.4484,"Phoenix, AZ, USA"
16,"prescott",\N,\N,\N,\N,-112.469,34.54,"Prescott, AZ, USA"
17,"showlow",\N,\N,\N,\N,-110.03,34.2542,"Show Low, AZ, USA"
18,"sierravista",\N,\N,\N,\N,-110.277,31.5455,"Sierra Vista, AZ, USA"
19,"tucson",\N,\N,\N,\N,-110.926,32.2217,"Tucson, AZ, USA"
20,"yuma",\N,\N,\N,\N,-114.628,32.6926,"Yuma, AZ, USA"
21,"arkansas",\N,\N,\N,\N,-91.8318,35.201,"Arkansas, USA"
22,"fayetteville",\N,\N,\N,\N,-94.1574,36.0626,"Fayetteville, AR, USA"
23,"fortsmith",\N,\N,\N,\N,-94.3985,35.3859,"Fort Smith, AR, USA"
24,"jonesboro",\N,\N,\N,\N,-90.7043,35.8423,"Jonesboro, AR, USA"
25,"littlerock",\N,\N,\N,\N,-92.2896,34.7465,"Little Rock, AR, USA"
26,"bakersfield",\N,\N,\N,\N,-119.019,35.3733,"Bakersfield, CA, USA"
27,"chico",\N,\N,\N,\N,-121.837,39.7285,"Chico, CA, USA"
28,"fresno",\N,\N,\N,\N,-119.773,36.7468,"Fresno, CA, USA"
29,"humboldt",\N,\N,\N,\N,-123.87,40.745,"Humboldt County, CA, USA"
30,"imperial",\N,\N,\N,\N,-115.473,33.0114,"Imperial County, CA, USA"
31,"inlandempire",\N,\N,\N,\N,-117.57,34.1,"Ranch Cucamonga, CA, USA"
32,"longbeach",\N,\N,\N,\N,-118.196,33.7683,"Long Beach, CA, USA"
33,"losangeles",\N,\N,\N,\N,-118.244,34.0522,"Los Angeles, CA, USA"
34,"mendocino",\N,\N,\N,\N,-123.799,39.3077,"Mendocino, CA, USA"
35,"merced",\N,\N,\N,\N,-120.483,37.3022,"Merced, CA, USA"
36,"modesto",\N,\N,\N,\N,-120.997,37.6391,"Modesto, CA, USA"
37,"monterey",\N,\N,\N,\N,-121.895,36.6002,"Monterey, CA, USA"
38,"northbay",\N,\N,\N,\N,-122.82,38.4,"Sebastopol, CA, USA"
39,"orangecounty",\N,\N,\N,\N,-117.86,33.6805,"Orange County, CA, USA"
40,"eastbay",\N,\N,\N,\N,-122.271,37.8044,"Oakland, CA, USA"
41,"palmsprings",\N,\N,\N,\N,-116.545,33.8303,"Palm Springs, CA, USA"
42,"palmdale",\N,\N,\N,\N,-118.116,34.5794,"Palmdale, CA, USA"
