site,outcall,sex_ad,is_massage_parlor_ad
adultsearch,0.9100763734910077,0.9317565902931757,0.02340477950234048
backpage,0.3318109877062473,0.9812505085627644,0.004228950085782362
cityvibe,0.3499068750506114,0.9487407887278322,0.008401489999190218
cityxguide,0.2812142667950101,0.9809552111529591,0.005710852557932206
craigslist,0.16557083084279736,0.49591552102012354,0.2470611675632596
escortadsxxx,0.2705160647189633,0.9864580937044705,0.0028295376121463076
escortphonelist,0.2597590433304506,0.9866698476127993,0.0031834312468314793
escortsincollege,0.26046585155817736,0.9858305911131264,0.0045220632589640436
massagetroll,0.14063890473474044,0.80968625213919,0.11343411294922989
myproviderguide,0.26103223822459126,0.9854133565680898,0.0027574188919071295
sipsap,0.25399599115999383,0.9857634784396361,0.0023127923112504496
utopiaguide,0.09165929855585028,0.7241379310344828,0.007957559681697613
