Alabama,10090
Alaska,756
Arizona,15225
Arkansas,4975
California,60382
Colorado,11341
Connecticut,6179
Delaware,518
District Of Columbia,3719
Florida,28681
Georgia,18000
Hawaii,2387
Idaho,1759
Illinois,15663
Indiana,6545
Iowa,4583
Kansas,3200
Kentucky,4318
Louisiana,10728
Maine,1112
Maryland,9038
Massachusetts,12281
Michigan,14466
Minnesota,3548
Mississippi,5785
Missouri,8003
Montana,317
Nebraska,2364
Nevada,7682
New Hampshire,509
New Jersey,5422
New Mexico,2599
New York,34030
North Carolina,18797
North Dakota,2415
Ohio,11329
Oklahoma,3731
Oregon,6484
Pennsylvania,14282
Rhode Island,711
South Carolina,6159
South Dakota,121
Tennessee,9584
Texas,33988
Utah,2900
Vermont,132
Virginia,11497
Washington,12692
West Virginia,1715
Wisconsin,7156
Wyoming,139
